threshold,mecA_TP,mecA_FP,mecA_TN,mecA_FN,lukF_TP,lukF_FP,lukF_TN,lukF_FN,lukS_TP,lukS_FP,lukS_TN,lukS_FN,mecA_sensitivity,mecA_specificity,lukF_sensitivity,lukF_specificity,lukS_sensitivity,lukS_specificity,mean_estimated_coverage,basecall_method,n_sequence_used,max_reads_used
0.6,6,0,16,2,3,0,18,3,4,0,18,2,0.75,1,0.5,1,0.666666666666667,1,1.86631480654762,fast,100,1000
0.6,8,0,16,0,5,0,18,1,6,0,18,0,1,1,0.833333333333333,1,1,1,3.65045474702381,fast,100,2000
0.6,8,0,15,0,5,0,18,0,5,0,18,0,1,1,1,1,1,1,5.52135470496895,fast,100,3000
0.6,8,0,14,0,5,0,17,0,5,0,17,0,1,1,1,1,1,1,7.27850928571429,fast,100,4000
0.6,8,0,14,0,5,0,17,0,5,0,17,0,1,1,1,1,1,1,8.9895938474026,fast,100,5000
0.6,8,0,14,0,5,0,17,0,5,0,17,0,1,1,1,1,1,1,10.6729486850649,fast,100,6000
0.6,8,0,14,0,5,0,17,0,5,0,17,0,1,1,1,1,1,1,12.3600867857143,fast,100,7000
0.6,8,0,14,0,5,0,17,0,5,0,17,0,1,1,1,1,1,1,14.0802418668831,fast,100,8000
0.6,6,0,16,2,3,0,18,3,4,0,18,2,0.75,1,0.5,1,0.666666666666667,1,1.86631480654762,fast,200,1000
0.6,8,1,15,0,5,0,18,1,6,0,18,0,1,0.9375,0.833333333333333,1,1,1,3.65045474702381,fast,200,2000
0.6,8,1,14,0,5,0,18,0,5,0,18,0,1,0.933333333333333,1,1,1,1,5.52135470496895,fast,200,3000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,7.27850928571429,fast,200,4000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,8.9895938474026,fast,200,5000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,10.6729486850649,fast,200,6000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,12.3600867857143,fast,200,7000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,14.0802418668831,fast,200,8000
0.6,6,0,16,2,3,0,18,3,4,0,18,2,0.75,1,0.5,1,0.666666666666667,1,1.86631480654762,fast,300,1000
