barcode_id,snps_type,snps_used,max_reads_used,call_type,fin_score,proportion_matched,proportion_scheme_found,estimated_coverage,predicted_MLST.CC,reads_w_result,Isolate.name,ST/CC,MRSA,PVL,Linked,Linked Isolate,CC,predicted_mlst_is_single,predicted_mlst_is_correct
1,random_400,100,1000,fast,0.3192,0.56,0.57,1.64345678571429,CC8,56,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,100,2000,fast,0.64,0.8,0.8,3.44701821428571,CC8,80,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,100,3000,fast,0.792,0.88,0.9,5.23615357142857,CC8,88,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,100,4000,fast,0.7921,0.89,0.89,6.66611607142857,CC8,89,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,100,5000,fast,0.8464,0.92,0.92,8.00557607142857,CC8,92,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,100,6000,fast,0.8464,0.92,0.92,9.12389428571429,CC8,92,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,100,7000,fast,0.8648,0.92,0.94,11.0822728571429,CC8,92,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,100,8000,fast,0.874,0.92,0.95,13.0191557142857,CC8,92,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,13,1000,fast,0.289940828402366,0.538461538461538,0.538461538461538,1.64345678571429,"CC5,CC8,CC1,CC45,CC59,CC6,CC130,CC80,CC361,CC72,CC15,CC78,CC97,CC398/CC5561,CC152,CC121,CC12,CC772/CC834,CC789,CC425,CC7,CC1943,CC395,CC10,CC942,CC361/CC15,CC25,CC93,CC20","7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,13,2000,fast,0.591715976331361,0.769230769230769,0.769230769230769,3.44701821428571,"CC5,CC8,CC1,CC45,CC59,CC6,CC130,CC80,CC361,CC72,CC15,CC78,CC97,CC398/CC5561,CC121,CC12,CC772/CC834,CC789,CC425,CC7,CC1943,CC395,CC942,CC361/CC15,CC25,CC93,CC20","10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,13,3000,fast,1,1,1,5.23615357142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","13,13,13,13,13,13,13",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
