barcode,n_reads,st,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL,basecall_method
01,1000,ND,6.94,"",273*,"",169*,419*,"",314*,fast
01,2000,ND,41.07,90*,49*,42*,169*,419*,270*,879*,fast
01,3000,ND,47.47,3*,49*,42*,1*,25*,270*,879*,fast
01,4000,ND,57.81,3*,49*,42*,1*,25*,813*,879*,fast
01,5000,ND,60.45,3*,306*,42*,1*,25*,813*,53*,fast
01,6000,ND,60.52,3*,306*,42*,1*,25*,813*,53*,fast
01,7000,ND,60.90,3*,306*,42*,1*,25*,813*,53*,fast
01,8000,ND,62.35,3,539*,42*,1*,25*,813*,3*,fast
01,9000,ND,63.48,3,539*,42*,1*,25*,813*,3*,fast
01,10000,ND,64.03,3,49*,42*,1*,25*,813*,3,fast
02,1000,ND,10.11,"",349*,"",369*,790*,"","",fast
02,2000,ND,31.38,185*,349*,"",369*,790*,199*,479*,fast
02,3000,ND,41.29,271*,214*,"",369*,518*,199*,5*,fast
02,4000,ND,49.05,905*,745*,"",369*,518*,199*,5*,fast
02,5000,ND,54.32,905*,214*,"",2*,518*,199*,5*,fast
02,6000,ND,54.32,905*,214*,"",2*,637*,199*,5*,fast
02,7000,ND,58.01,905*,214*,"",2*,637*,199*,5*,fast
02,8000,ND,64.83,905*,214*,"",2*,554*,199*,5*,fast
02,9000,ND,65.89,905*,214*,"",2*,554*,14*,5*,fast
02,10000,ND,69.39,905*,214*,"",2*,554*,14*,5,fast
09,1000,ND,35.41,710*,"",528*,253*,123*,"","",fast
09,2000,ND,38.51,862*,127*,528*,253*,123*,154*,"",fast
09,3000,ND,51.52,862*,127*,528*,253*,123*,1*,"",fast
09,4000,ND,51.55,862*,127*,528*,253*,123*,1*,"",fast
09,5000,ND,55.75,484,127*,463*,253*,66*,1*,"",fast
09,6000,ND,56.07,862*,324*,1*,253*,66*,1,"",fast
09,7000,ND,56.13,862*,132*,1*,253*,66*,1,"",fast
09,8000,ND,67.04,862*,132*,1*,181*,66*,1,"",fast
09,9000,ND,77.54,862*,164*,1,181*,66*,1,"",fast
09,10000,ND,77.60,484,164*,1,181*,66*,1,"",fast
10,1000,ND,25.25,12*,868*,"","",891*,"",896*,fast
10,2000,ND,35.54,12*,868*,"","",184*,374*,896*,fast
10,3000,ND,52.75,12*,868*,"","",592*,549*,896*,fast
10,4000,ND,64.47,12*,868*,"",669*,592*,549*,896*,fast
10,5000,ND,65.86,12*,868*,"",669*,12*,549*,896*,fast
10,6000,ND,65.86,12*,868*,"",669*,12*,549*,896*,fast
10,7000,ND,69.06,12*,868*,"",669*,12*,1*,896*,fast
10,8000,ND,69.22,12*,868*,"",669*,12,1*,896*,fast
