max_reads_used,snps_used,snps_type,call_type,n_correct,n_single,n_single_correct
1000,100,random_400,fast,24,16,16
2000,100,random_400,fast,24,19,19
3000,100,random_400,fast,23,20,20
4000,100,random_400,fast,22,20,20
5000,100,random_400,fast,22,20,20
6000,100,random_400,fast,22,20,20
7000,100,random_400,fast,22,20,20
8000,100,random_400,fast,22,18,18
1000,13,random_400,fast,23,6,5
2000,13,random_400,fast,24,5,5
3000,13,random_400,fast,23,5,5
4000,13,random_400,fast,22,4,4
5000,13,random_400,fast,22,4,4
6000,13,random_400,fast,22,4,4
7000,13,random_400,fast,22,4,4
8000,13,random_400,fast,22,4,4
1000,18,random_400,fast,23,6,5
2000,18,random_400,fast,24,5,5
3000,18,random_400,fast,23,5,5
4000,18,random_400,fast,22,4,4
5000,18,random_400,fast,22,4,4
6000,18,random_400,fast,22,4,4
7000,18,random_400,fast,22,4,4
8000,18,random_400,fast,22,4,4
1000,200,random_400,fast,24,22,22
2000,200,random_400,fast,24,24,24
3000,200,random_400,fast,23,23,23
4000,200,random_400,fast,22,22,22
5000,200,random_400,fast,22,22,22
6000,200,random_400,fast,22,22,22
7000,200,random_400,fast,22,22,22
8000,200,random_400,fast,22,22,22
1000,23,random_400,fast,23,8,7
2000,23,random_400,fast,24,7,7
3000,23,random_400,fast,23,6,6
4000,23,random_400,fast,22,5,5
5000,23,random_400,fast,22,5,5
6000,23,random_400,fast,22,5,5
7000,23,random_400,fast,22,5,5
8000,23,random_400,fast,22,5,5
1000,27,random_400,fast,23,9,8
2000,27,random_400,fast,24,8,8
3000,27,random_400,fast,23,7,7
4000,27,random_400,fast,22,6,6
5000,27,random_400,fast,22,6,6
6000,27,random_400,fast,22,6,6
7000,27,random_400,fast,22,6,6
8000,27,random_400,fast,22,6,6
1000,300,random_400,fast,24,24,24
2000,300,random_400,fast,24,24,24
3000,300,random_400,fast,23,23,23
4000,300,random_400,fast,22,22,22
5000,300,random_400,fast,22,22,22
6000,300,random_400,fast,22,22,22
7000,300,random_400,fast,22,22,22
8000,300,random_400,fast,22,22,22
1000,400,random_400,fast,24,24,24
2000,400,random_400,fast,24,24,24
3000,400,random_400,fast,23,23,23
4000,400,random_400,fast,22,22,22
5000,400,random_400,fast,22,22,22
6000,400,random_400,fast,22,22,22
7000,400,random_400,fast,22,22,22
8000,400,random_400,fast,22,22,22
1000,7,random_400,fast,23,4,3
2000,7,random_400,fast,24,3,3
3000,7,random_400,fast,23,3,3
4000,7,random_400,fast,22,2,2
5000,7,random_400,fast,22,2,2
6000,7,random_400,fast,22,2,2
7000,7,random_400,fast,22,2,2
8000,7,random_400,fast,22,2,2
1000,7,non_random_200,fast,22,6,6
2000,7,non_random_200,fast,21,18,16
3000,7,non_random_200,fast,21,20,18
4000,7,non_random_200,fast,22,20,20
5000,7,non_random_200,fast,21,22,21
6000,7,non_random_200,fast,20,22,20
7000,7,non_random_200,fast,21,22,21
8000,7,non_random_200,fast,21,22,21
1000,300,non_random_200,fast,24,24,24
2000,300,non_random_200,fast,24,24,24
3000,300,non_random_200,fast,23,23,23
4000,300,non_random_200,fast,22,22,22
5000,300,non_random_200,fast,22,22,22
