reads,sketch_id,shared_hashes,mlst,meca,pvl,scc,clindamycin,rifampicin,ciprofloxacin,vancomycin,tetracycline,mupirocin,gentamicin,trimethoprim,penicillin,methicillin,erythromycin,fusidicacid,barcode,resolution,basecall_method
1000,SAMEA104188305,2787,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
1000,SAMN04868296,2783,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
1000,SAMN05344905,2775,ST8,MRSA,PVL*,SCCmec-I,R,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
1000,SAMN02854573,2774,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
1000,SAMEA1466452,2773,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
2000,SAMN04868085,2328,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
2000,SAMN04505186,2327,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
2000,SAMN04868228,2327,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
2000,SAMEA1463768,2325,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
2000,SAMN02854573,2325,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
3000,SAMN02854573,1957,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
3000,SAMN04868111,1956,ST8,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,01,10k,fast
3000,SAMN08384037,1956,ST8,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
3000,SAMN04868045,1955,ST8,MRSA,PVL+,SCCmec-II,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
3000,SAMN04868196,1951,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
4000,SAMN04868196,1705,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
4000,SAMN02854573,1697,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
4000,SAMN06698300,1695,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
4000,SAMN04868111,1694,ST8,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,01,10k,fast
4000,SAMN04868085,1686,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
5000,SAMN02854573,1481,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
5000,SAMN04868196,1481,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
5000,SAMN06698300,1479,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
5000,SAMN04868111,1478,ST8,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,01,10k,fast
5000,SAMN06167365,1472,ST8,MRSA,PVL+,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
6000,SAMN06698300,1367,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
6000,SAMN02854573,1363,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
6000,SAMN04868196,1360,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
6000,SAMN04868082,1358,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
6000,SAMN04868228,1358,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
7000,SAMN04868111,1182,ST8,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,01,10k,fast
7000,SAMN04868196,1182,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
7000,SAMN02854573,1177,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
7000,SAMN02865127,1177,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
7000,SAMN04868156,1177,ST8,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,01,10k,fast
8000,SAMN04868111,1057,ST8,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,01,10k,fast
8000,SAMN04868082,1053,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
8000,SAMN04868156,1053,ST8,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,01,10k,fast
8000,SAMN04868196,1053,ST8,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,01,10k,fast
8000,SAMN02865127,1050,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,01,10k,fast
1000,SAMEA3449052,2932,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,S,R,S,R,S,02,10k,fast
1000,SAMEA3181194,2928,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,02,10k,fast
1000,SAMEA3448959,2917,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
