resolution,basecall_method,reads,barcode,mecA,lukF_PV,lukS_PV,mecA_pred,pvl_pred,shared_hashes,mecA_first,pvl_first,mecA_pred_major,pvl_pred_major
1k,fast,1000,01,FALSE,FALSE,FALSE,"MRSA,MRSA,MRSA,MRSA,MRSA","PVL*,PVL+,PVL*,PVL*,PVL*","298,297,297,296,295",TRUE,FALSE,TRUE,FALSE
1k,fast,1000,01,FALSE,FALSE,FALSE,"MRSA,MRSA,MRSA,MRSA,MRSA","PVL*,PVL+,PVL*,PVL*,PVL*","298,297,297,296,295",TRUE,FALSE,TRUE,FALSE
1k,fast,1000,01,FALSE,FALSE,FALSE,"MRSA,MRSA,MRSA,MRSA,MRSA","PVL*,PVL+,PVL*,PVL*,PVL*","298,297,297,296,295",TRUE,FALSE,TRUE,FALSE
1k,fast,1000,01,FALSE,FALSE,FALSE,"MRSA,MRSA,MRSA,MRSA,MRSA","PVL*,PVL+,PVL*,PVL*,PVL*","298,297,297,296,295",TRUE,FALSE,TRUE,FALSE
1k,fast,1000,01,FALSE,FALSE,FALSE,"MRSA,MRSA,MRSA,MRSA,MRSA","PVL*,PVL+,PVL*,PVL*,PVL*","298,297,297,296,295",TRUE,FALSE,TRUE,FALSE
1k,fast,2000,01,FALSE,FALSE,FALSE,"MRSA,MSSA,MSSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL+","261,259,258,255,254",TRUE,FALSE,TRUE,FALSE
1k,fast,2000,01,FALSE,FALSE,FALSE,"MRSA,MSSA,MSSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL+","261,259,258,255,254",TRUE,FALSE,TRUE,FALSE
1k,fast,2000,01,FALSE,FALSE,FALSE,"MRSA,MSSA,MSSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL+","261,259,258,255,254",TRUE,FALSE,TRUE,FALSE
1k,fast,2000,01,FALSE,FALSE,FALSE,"MRSA,MSSA,MSSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL+","261,259,258,255,254",TRUE,FALSE,TRUE,FALSE
1k,fast,2000,01,FALSE,FALSE,FALSE,"MRSA,MSSA,MSSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL+","261,259,258,255,254",TRUE,FALSE,TRUE,FALSE
1k,fast,3000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MRSA,MSSA","PVL*,PVL*,PVL*,PVL*,PVL*","210,208,205,204,203",FALSE,FALSE,FALSE,FALSE
1k,fast,3000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MRSA,MSSA","PVL*,PVL*,PVL*,PVL*,PVL*","210,208,205,204,203",FALSE,FALSE,FALSE,FALSE
1k,fast,3000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MRSA,MSSA","PVL*,PVL*,PVL*,PVL*,PVL*","210,208,205,204,203",FALSE,FALSE,FALSE,FALSE
1k,fast,3000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MRSA,MSSA","PVL*,PVL*,PVL*,PVL*,PVL*","210,208,205,204,203",FALSE,FALSE,FALSE,FALSE
1k,fast,3000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MRSA,MSSA","PVL*,PVL*,PVL*,PVL*,PVL*","210,208,205,204,203",FALSE,FALSE,FALSE,FALSE
1k,fast,4000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL*","191,191,186,185,184",FALSE,FALSE,TRUE,FALSE
1k,fast,4000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL*","191,191,186,185,184",FALSE,FALSE,TRUE,FALSE
1k,fast,4000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL*","191,191,186,185,184",FALSE,FALSE,TRUE,FALSE
1k,fast,4000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL*","191,191,186,185,184",FALSE,FALSE,TRUE,FALSE
1k,fast,4000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL*","191,191,186,185,184",FALSE,FALSE,TRUE,FALSE
1k,fast,5000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MSSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL*","175,172,169,168,168",FALSE,FALSE,FALSE,FALSE
1k,fast,5000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MSSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL*","175,172,169,168,168",FALSE,FALSE,FALSE,FALSE
1k,fast,5000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MSSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL*","175,172,169,168,168",FALSE,FALSE,FALSE,FALSE
1k,fast,5000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MSSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL*","175,172,169,168,168",FALSE,FALSE,FALSE,FALSE
1k,fast,5000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MRSA,MSSA,MRSA","PVL*,PVL*,PVL*,PVL*,PVL*","175,172,169,168,168",FALSE,FALSE,FALSE,FALSE
1k,fast,6000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MSSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL+,PVL+","158,157,156,153,152",FALSE,FALSE,FALSE,FALSE
1k,fast,6000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MSSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL+,PVL+","158,157,156,153,152",FALSE,FALSE,FALSE,FALSE
1k,fast,6000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MSSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL+,PVL+","158,157,156,153,152",FALSE,FALSE,FALSE,FALSE
1k,fast,6000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MSSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL+,PVL+","158,157,156,153,152",FALSE,FALSE,FALSE,FALSE
1k,fast,6000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MSSA,MRSA,MRSA","PVL*,PVL*,PVL*,PVL+,PVL+","158,157,156,153,152",FALSE,FALSE,FALSE,FALSE
1k,fast,7000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MSSA,MRSA,MSSA","PVL*,PVL*,PVL*,PVL+,PVL*","141,140,138,137,135",FALSE,FALSE,FALSE,FALSE
1k,fast,7000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MSSA,MRSA,MSSA","PVL*,PVL*,PVL*,PVL+,PVL*","141,140,138,137,135",FALSE,FALSE,FALSE,FALSE
1k,fast,7000,01,FALSE,FALSE,FALSE,"MSSA,MSSA,MSSA,MRSA,MSSA","PVL*,PVL*,PVL*,PVL+,PVL*","141,140,138,137,135",FALSE,FALSE,FALSE,FALSE
