Isolate.name,n_unknown,prop_unknown
33128_UAMS_1,3407,0.0207320412571881
34208_Lr12,301,0.00183162442571576
34210_M92,1496,0.00910335594973682
34211_V605,1537,0.00935284632001704
34290_2005S060,2706,0.0164663644384945
35605_NCTC8726,4149,0.0252472084461618
35607_1549_WT,3858,0.0234764353302705
35868_Newman,1229,0.00747862597742416
35870_MW2,1233,0.00750296650135394
35871_MRSA252,3339,0.0203182523503818
36588_NAS_AN_261_G2,59538,0.362296528432775
36589_NAS_AN_261_G3,59538,0.362296528432775
36592_NAS_NP_260_G1,59552,0.362381720266529
36593_NAS_NP_260_G2,59538,0.362296528432775
36594_NAS_NP_260_G3,59538,0.362296528432775
37267_NAS_AN_212,3328,0.020251315909575
37268_NAS_OP_003,2272,0.0138254175921137
37276_NAS_NP_209,3354,0.0204095293151185
37279_NAS_NP_229,3346,0.020360848267259
37280_NAS_NP_260,59552,0.362381720266529
37464_NCTC_8325,1323,0.00805062828977394
38061_NAS_AN_230_G1,3337,0.020306082088417
38063_NAS_OP_098_G4,446,0.0027139684181702
38248_U59,1326,0.00806888368272127
38290_01_RR_86,1822,0.0110871086500137
38291_03_RR_88,1517,0.00923114370036815
38293_07_G_D,1469,0.00893905741321082
38294_08_G_E,1555,0.00946237867770104
38295_09_G_F,1925,0.0117138771412055
38296_12_G_51,1909,0.0116165150454864
38298_15_G_54,1568,0.00954148538047282
38299_17_H_61,1157,0.00704049654668817
38300_18_H_62,1537,0.00935284632001704
38301_26_G_G,1588,0.0096631880001217
38302_28_G_I,1555,0.00946237867770104
38303_29_P_01,1508,0.00917637752152615
38304_30_P_10,1776,0.0108071926248212
38305_32_T_13,1600,0.00973620957191103
38306_39_B_49,1494,0.00909118568777193
38308_16CS0212,2985,0.0181641159825965
38485_22MR0019,2655,0.0161560227583899
38608_7726_MF_31,1225,0.00745428545349439
38609_7726_MF_32,567,0.00345026926704597
38610_7726_MF_33,2425,0.0147564426324277
38611_7726_MF_34,1191,0.00724739100009128
38612_7726_MF_35,1200,0.00730215717893328
38692_7726_MF_37,2905,0.017677305504001
38693_7726_MF_38,1246,0.00758207320412572
38694_7726_MF_39,1252,0.00761858399002039
38695_7726_MF_40,1134,0.00690053853409195
38696_7726_MF_42,3125,0.0190160343201387
38697_7726_MF_43,3071,0.0186874372470867
38698_7726_MF_44,3020,0.0183770955669821
38699_7726_MF_45,2848,0.0173304530380016
38700_7726_MF_46,1306,0.00794718106307238
38701_7726_MF_47,3088,0.0187908844737883
38702_7726_MF_48,1283,0.00780722305047616
38703_7726_MF_49,1248,0.00759424346609061
38704_7726_MF_50,2350,0.0143000578087443
38705_7726_MF_51,2316,0.0140931633553412
38706_7726_MF_52,1236,0.00752122189430128
38707_7726_MF_53,1155,0.00702832628472328
38708_7726_MF_54,1241,0.0075516475492135
38709_7726_MF_56,1231,0.00749079623938905
38710_7726_MF_57,1275,0.00775854200261661
38711_7726_MF_58,3722,0.022648857516658
38712_7726_MF_59,3671,0.0223385158365534
38713_7726_MF_60,1173,0.00713785864240728
38714_7726_MF_61,1136,0.00691270879605684
38715_7726_MF_62,1171,0.00712568838044239
38716_7726_MF_63,2996,0.0182310524234034
38717_7726_MF_64,3564,0.0216874068214318
38718_7726_MF_65,1206,0.00733866796482794
38719_7726_MF_66,1276,0.00776462713359905
38720_7726_MF_67,3227,0.0196367176803481
38721_7726_MF_68,3008,0.0183040739951928
38722_7726_MF_69,2982,0.0181458605896492
38723_7726_MF_70,3235,0.0196853987282076
38724_7726_MF_72,3429,0.0208659141388018
38725_7726_MF_73,2988,0.0181823713755439
38726_7726_MF_74,2958,0.0179998174460705
38727_7726_MF_76,1359,0.00826969300514194
38728_7726_MF_78,1379,0.00839139562479083
38729_7726_MF_79,1389,0.00845224693461527
38730_7726_MF_80,1342,0.00816624577844038
38731_7726_MF_81,1174,0.00714394377338972
38732_7726_MF_83,3935,0.0239449904159187
38733_7726_MF_84,3981,0.0242249064411111
38734_7726_MF_85,893,0.00543402196732285
38735_7726_MF_86,3976,0.0241944807861989
38736_7726_MF_87,1797,0.0109349803754526
38737_7726_MF_88,3131,0.0190525451060334
38738_7726_MF_89,3338,0.0203121672193994
38739_7726_MF_90,3309,0.0201356984209085
38740_7726_MF_91,3367,0.0204886360178903
38741_7726_MF_92,961,0.00584781087412907
38742_7726_MF_33,2425,0.0147564426324277
38743_7726_MF_34,1191,0.00724739100009128
38744_8220_MF_10,1221,0.00742994492956461
38745_8220_MF_13,530,0.00322511942069553
38746_8220_MF_16,1291,0.00785590409833572
38747_8220_MF_22,2548,0.0155049137432683
38748_8220_MF_24,557,0.00338941795722153
38749_8220_MF_25,1266,0.00770377582377461
38750_8220_MF_29,1563,0.00951105972556059
38751_8220_MF_30,3133,0.0190647153679983
38752_8220_MF_37,1304,0.00793501080110749
38753_8220_MF_38,1239,0.00753947728724861
38754_8220_MF_42,1236,0.00752122189430128
38755_8220_MF_45,2494,0.0151763166702163
38756_8220_MF_48,1255,0.00763683938296772
38757_8220_MF_52,1212,0.00737517875072261
38758_8220_MF_54,2573,0.0156570420178294
38759_8220_MF_57,538,0.00327380046855509
38760_8220_MF_66,3262,0.0198496972647336
38761_8220_MF_8,1241,0.0075516475492135
38762_8328_MF_17,2533,0.0154136367785317
38763_8328_MF_24,1373,0.00835488483889616
38764_8328_MF_25,2363,0.0143791645115161
38765_8328_MF_30,1304,0.00793501080110749
38766_7285_NS_9,1413,0.00859829007819393
38767_7285_NS_10,1346,0.00819058630237016
38768_7726_MF_1,546,0.00332248151641464
38769_7726_MF_2,1370,0.00833662944594883
38770_7726_MF_3,2951,0.0179572215291934
38771_7726_MF_4,1285,0.00781939331244105
38772_7726_MF_5,3175,0.019320290869261
38773_7726_MF_6,1070,0.00651109015121551
38774_7726_MF_7,2368,0.0144095901664283
38775_7726_MF_8,3098,0.0188517357836127
38776_7726_MF_9,567,0.00345026926704597
38777_7726_MF_10,1331,0.00809930933763349
38778_7726_MF_11,1347,0.0081966714333526
38779_7726_MF_12,1260,0.00766726503787994
38780_7726_MF_13,1241,0.0075516475492135
38781_7726_MF_14,2966,0.0180484984939301
38782_7726_MF_15,1200,0.00730215717893328
38783_7726_MF_16,1240,0.00754556241823105
38784_7726_MF_17,1222,0.00743603006054705
38785_7726_MF_18,2397,0.0145860589649192
38786_7726_MF_19,2544,0.0154805732193385
38787_7726_MF_20,2583,0.0157178933276539
38788_7726_MF_21,1260,0.00766726503787994
38789_7726_MF_22,1166,0.00709526272553017
38790_7726_MF_23,1174,0.00714394377338972
38791_7726_MF_24,4168,0.0253628259348282
38792_7726_MF_25,551,0.00335290717132686
38793_7726_MF_26,2649,0.0161195119724952
38794_7726_MF_27,3076,0.018717862901999
38795_7726_MF_28,2420,0.0147260169775154
38796_7726_MF_29,1170,0.00711960324945995
38797_7726_MF_30,1230,0.00748471110840661
38798_7726_MF_93,3158,0.0192168436425594
38799_7726_MF_94,2833,0.017239176073265
38800_7726_MF_95,3848,0.023415584020446
38801_7726_MF_96,1839,0.0111905558767152
38802_8220_MF_72,1290,0.00784981896735327
38803_8220_MF_73,931,0.00566525694465573
38804_8220_MF_74,915,0.00556789484893662
38805_8220_MF_75,942,0.00573219338546262
38806_8220_MF_76,2069,0.0125901360026775
38807_8220_MF_77,1308,0.00795935132503727
38808_8220_MF_78,540,0.00328597073051997
38809_8220_MF_79,1311,0.0079776067179846
38810_8220_MF_80,4371,0.0265981075242645
38811_8220_MF_82,3801,0.0231295828642712
38812_8220_MF_84,1259,0.0076611799068975
38813_8220_MF_85,3770,0.0229409438038154
38814_8220_MF_86,520,0.00316426811087109
38815_8220_MF_87,1228,0.00747254084644172
38816_8220_MF_89,2847,0.0173243679070192
38817_8220_MF_90,1254,0.00763075425198527
38818_8220_MF_92,1257,0.00764900964493261
38819_8220_MF_96,1035,0.00629811056682995
38821_8328_MF_51,3003,0.0182736483402805
38822_8328_MF_52,1269,0.00772203121672194
38823_8328_MF_53,1283,0.00780722305047616
38824_8328_MF_54,1351,0.00822101195728238
38825_8328_MF_56,1491,0.0090729302948246
38826_8328_MF_57,1368,0.00832445918398394
38827_8328_MF_58,3696,0.0224906441111145
38828_8328_MF_59,1284,0.00781330818145861
38829_8328_MF_60,3773,0.0229591991967627
38830_8328_MF_62,1326,0.00806888368272127
38831_8328_MF_63,1126,0.00685185748623239
38832_8328_MF_64,1244,0.00756990294216083
38833_8328_MF_65,2932,0.017841604040527
38834_8328_MF_66,1327,0.00807496881370372
38835_8328_MF_67,1330,0.00809322420665105
38836_8328_MF_68,2956,0.0179876471841056
38837_8328_MF_70,2974,0.0180971795417896
38838_8328_MF_71,2968,0.018060668755895
38839_8328_MF_72,2506,0.0152493382420057
38840_8328_MF_73,1185,0.00721088021419661
38841_8328_MF_74,1363,0.00829403352907171
38842_8328_MF_76,913,0.00555572458697174
38843_8328_MF_77,2615,0.0159126175190921
38844_8328_MF_79,3681,0.0223993671463778
38845_8328_MF_80,2895,0.0176164541941765
38847_8328_MF_83,2855,0.0173730489548788
38848_8328_MF_85,1321,0.00803845802780905
38849_8328_MF_86,1199,0.00729607204795083
38850_8328_MF_87,1267,0.00770986095475705
38851_8328_MF_89,2744,0.0166975994158274
38852_8328_MF_90,3036,0.0184744576627012
38853_8328_MF_91,3018,0.0183649253050172
38854_8328_MF_93,3696,0.0224906441111145
38855_8328_MF_95,3061,0.0186265859372623
39190_JH1,254,0.00154562326954088
39191_N315,151,0.000918854778349104
39192_TW20,1521,0.00925548422429793
39193_04_02981,187,0.0011379194937171
39194_RF122,2743,0.016691514284845
39195_11819_97,1443,0.00878084400766727
39196_71193,3191,0.0194176529649801
39197_COL,1322,0.00804454315879149
39198_ECT_R_2,279,0.00169775154410199
39200_ED98,2609,0.0158761067331974
39201_HO_5096_0412,242,0.00147260169775154
39202_JH9,2357,0.0143426537256214
39203_JKD6159,2577,0.0156813825417592
39204_LGA251,4084,0.0248516749323029
39205_M013,3339,0.0203182523503818
39206_MRSA_252,2669,0.0162412145921441
39207_MSSA476,1211,0.00736909361974016
39208_MW2,1197,0.00728390178598594
39209_Mu3,34,0.00020689445340311
39210_Mu50,40,0.000243405239297776
39211_NCTC_8325,1323,0.00805062828977394
39212_ST398,1639,0.00997352968022637
39213_T0131,3428,0.0208598290078194
39214_TCH60,1288,0.00783764870538838
39215_USA300_FPR3757,3148,0.019155992332735
39216_USA300_TCH1516,1274,0.00775245687163416
39217_VC40,1236,0.00752122189430128
39218_JKD6008,1229,0.00747862597742416
39219_Newman,1642,0.0099917850731737
39220_VCU006,3388,0.0206164237685216
39349_Mu50_omega,69,0.000419874037788663
39649_M1,1172,0.00713177351142483
39651_SA40,2653,0.016143852496425
39652_SA957,2706,0.0164663644384945
39653_6850,2919,0.0177624973377552
39654_ST228_10388,218,0.00132655855417288
39655_ST228_10497,216,0.00131438829220799
39656_ST228_15532,219,0.00133264368515532
39657_ST228_16035,219,0.00133264368515532
39658_ST228_16125,85,0.000517236133507774
39659_ST228_18341,206,0.00125353698238355
39660_ST228_18412,252,0.00153345300757599
39661_ST228_18583,245,0.00149085709069888
39662_Z172,1554,0.00945629354671859
39663_Bmb9393,1528,0.00929808014117504
39664_CA_347,3867,0.0235312015091125
39665_CN1_HL1,1128,0.00686402774819728
42467_M48,1800,0.0109532357683999
42468_M51,2793,0.0169957708339672
43022_364,1421,0.00864697112605349
44909_NCTC10441,1297,0.00789241488423038
44912_Mu50,34,0.00020689445340311
44913_MRSA252,3339,0.0203182523503818
44914_JH1,254,0.00154562326954088
44927_inHO50960413,2357,0.0143426537256214
44940_S0385,3428,0.0208598290078194
44947_LGA251,2577,0.0156813825417592
44948_BA01611,1305,0.00794109593208994
44949_55_99_44,3812,0.023196519305078
45134_GCA_003031465_1,278,0.00169166641311954
45143_GCA_003194405_1,227,0.00138132473301488
45147_GCA_007813675_1,1254,0.00763075425198527
45370_GCA_020997495_1,310,0.00188639060455776
