call_type,barcode_id,output
fast,01,39983
fast,02,169239
fast,09,194972
fast,10,92814
fast,17,92066
fast,18,143600
fast,25,39529
fast,26,213015
fast,33,1037
fast,34,99594
fast,41,103028
fast,42,131243
fast,49,81552
fast,50,235241
fast,57,71179
fast,58,83092
fast,65,28768
fast,66,41974
fast,73,2917
fast,74,109840
fast,81,177429
fast,82,76805
fast,89,54230
fast,90,102880
hac,01,42002
hac,02,176894
hac,09,206422
hac,10,101416
hac,17,98368
hac,18,157809
hac,25,41770
hac,26,226451
hac,33,1105
hac,34,104380
hac,41,108762
hac,42,144230
hac,49,84813
hac,50,249514
hac,57,74539
hac,58,86992
hac,65,30441
hac,66,46764
hac,73,3000
hac,74,116948
hac,81,186858
hac,82,80181
hac,89,57144
hac,90,107297
sup,01,39556
sup,02,169512
sup,09,198478
sup,10,99146
sup,17,93413
sup,18,152293
sup,25,39582
sup,26,217006
sup,33,1055
sup,34,99436
sup,41,104193
sup,42,141671
sup,49,81223
sup,50,242005
sup,57,71208
sup,58,82967
sup,65,28740
sup,66,44711
sup,73,2759
sup,74,111564
sup,81,179763
sup,82,76056
sup,89,54397
sup,90,104131
