sample,n_reads,n_kmer,estimated_coverage,lukF_PV,lukS_PV,mecA,mecA(AMRFINDER),lukF.PV(AMRFINDER),lukS.PV(AMRFINDER)
ERR12511686,1000,100,0.0510242857142857,-Inf,-Inf,-Inf,TRUE,FALSE,FALSE
ERR12511686,1000,200,0.0510242857142857,0,0,0.01,TRUE,FALSE,FALSE
ERR12511686,1000,300,0.0510242857142857,0,0,0.0033333333333333,TRUE,FALSE,FALSE
ERR12511686,1000,400,0.0510242857142857,0,0.0025,0.0025,TRUE,FALSE,FALSE
ERR12511686,1000,500,0.0510242857142857,0,0.002,0.006,TRUE,FALSE,FALSE
ERR12511686,1000,600,0.0510242857142857,0.0016666666666666,0.0016666666666666,0.01,TRUE,FALSE,FALSE
ERR12511686,1000,700,0.0510242857142857,0.0014285714285714,0.0014285714285714,0.0071428571428571,TRUE,FALSE,FALSE
ERR12511686,1000,800,0.0510242857142857,0.00125,0.00125,0.0075,TRUE,FALSE,FALSE
ERR12511686,1000,900,0.0510242857142857,0,0.0011111111111111,0.01,TRUE,FALSE,FALSE
ERR12511686,1000,all,0.0510242857142857,0.0010341261633919,0.001082251082251,0.0085170340681362,TRUE,FALSE,FALSE
ERR12511686,2000,100,0.102495,-Inf,-Inf,-Inf,TRUE,FALSE,FALSE
ERR12511686,2000,200,0.102495,0,0.01,0.015,TRUE,FALSE,FALSE
ERR12511686,2000,300,0.102495,0,0.01,0.0033333333333333,TRUE,FALSE,FALSE
ERR12511686,2000,400,0.102495,0.005,0.0125,0.005,TRUE,FALSE,FALSE
ERR12511686,2000,500,0.102495,0.006,0.004,0.006,TRUE,FALSE,FALSE
ERR12511686,2000,600,0.102495,0.0033333333333333,0.01,0.0133333333333333,TRUE,FALSE,FALSE
ERR12511686,2000,700,0.102495,0.0071428571428571,0.0057142857142857,0.0085714285714285,TRUE,FALSE,FALSE
ERR12511686,2000,800,0.102495,0.00375,0.00875,0.0075,TRUE,FALSE,FALSE
ERR12511686,2000,900,0.102495,0.0044444444444444,0.0077777777777777,0.0111111111111111,TRUE,FALSE,FALSE
ERR12511686,2000,all,0.102495,0.0051706308169596,0.0075757575757575,0.0110220440881764,TRUE,FALSE,FALSE
ERR12511686,3000,100,0.153288571428571,-Inf,-Inf,-Inf,TRUE,FALSE,FALSE
ERR12511686,3000,200,0.153288571428571,0,0.01,0.025,TRUE,FALSE,FALSE
ERR12511686,3000,300,0.153288571428571,0,0.01,0.01,TRUE,FALSE,FALSE
ERR12511686,3000,400,0.153288571428571,0.005,0.0125,0.01,TRUE,FALSE,FALSE
ERR12511686,3000,500,0.153288571428571,0.006,0.004,0.01,TRUE,FALSE,FALSE
ERR12511686,3000,600,0.153288571428571,0.0033333333333333,0.01,0.0166666666666667,TRUE,FALSE,FALSE
ERR12511686,3000,700,0.153288571428571,0.0071428571428571,0.0071428571428571,0.0128571428571429,TRUE,FALSE,FALSE
ERR12511686,3000,800,0.153288571428571,0.00375,0.01,0.0075,TRUE,FALSE,FALSE
ERR12511686,3000,900,0.153288571428571,0.0044444444444444,0.0088888888888888,0.0155555555555556,TRUE,FALSE,FALSE
ERR12511686,3000,all,0.153288571428571,0.0051706308169596,0.0086580086580086,0.0145290581162325,TRUE,FALSE,FALSE
ERR12511686,4000,100,0.204837142857143,0,0,0.09,TRUE,FALSE,FALSE
ERR12511686,4000,200,0.204837142857143,0,0.01,0.17,TRUE,FALSE,FALSE
ERR12511686,4000,300,0.204837142857143,0.0033333333333333,0.01,0.13,TRUE,FALSE,FALSE
ERR12511686,4000,400,0.204837142857143,0.005,0.015,0.155,TRUE,FALSE,FALSE
ERR12511686,4000,500,0.204837142857143,0.008,0.006,0.14,TRUE,FALSE,FALSE
ERR12511686,4000,600,0.204837142857143,0.005,0.0116666666666667,0.151666666666667,TRUE,FALSE,FALSE
ERR12511686,4000,700,0.204837142857143,0.0085714285714285,0.0085714285714285,0.164285714285714,TRUE,FALSE,FALSE
ERR12511686,4000,800,0.204837142857143,0.005,0.01125,0.15375,TRUE,FALSE,FALSE
ERR12511686,4000,900,0.204837142857143,0.0055555555555555,0.01,0.141111111111111,TRUE,FALSE,FALSE
ERR12511686,4000,all,0.204837142857143,0.0062047569803516,0.0097402597402597,0.156813627254509,TRUE,FALSE,FALSE
ERR12511686,5000,100,0.2559275,0,0,0.1,TRUE,FALSE,FALSE
ERR12511686,5000,200,0.2559275,0.005,0.01,0.18,TRUE,FALSE,FALSE
ERR12511686,5000,300,0.2559275,0.0066666666666666,0.01,0.13,TRUE,FALSE,FALSE
ERR12511686,5000,400,0.2559275,0.0075,0.0225,0.16,TRUE,FALSE,FALSE
ERR12511686,5000,500,0.2559275,0.008,0.008,0.142,TRUE,FALSE,FALSE
ERR12511686,5000,600,0.2559275,0.005,0.0166666666666667,0.158333333333333,TRUE,FALSE,FALSE
ERR12511686,5000,700,0.2559275,0.0114285714285714,0.0114285714285714,0.174285714285714,TRUE,FALSE,FALSE
ERR12511686,5000,800,0.2559275,0.00875,0.015,0.1575,TRUE,FALSE,FALSE
ERR12511686,5000,900,0.2559275,0.0088888888888888,0.0133333333333333,0.143333333333333,TRUE,FALSE,FALSE
ERR12511686,5000,all,0.2559275,0.0093071354705274,0.012987012987013,0.161823647294589,TRUE,FALSE,FALSE
ERR12511686,6000,100,0.307104285714286,0,0,0.23,TRUE,FALSE,FALSE
ERR12511686,6000,200,0.307104285714286,0.01,0.02,0.32,TRUE,FALSE,FALSE
ERR12511686,6000,300,0.307104285714286,0.0166666666666667,0.0166666666666667,0.28,TRUE,FALSE,FALSE
ERR12511686,6000,400,0.307104285714286,0.0125,0.025,0.295,TRUE,FALSE,FALSE
ERR12511686,6000,500,0.307104285714286,0.014,0.01,0.272,TRUE,FALSE,FALSE
ERR12511686,6000,600,0.307104285714286,0.0116666666666667,0.0216666666666667,0.3,TRUE,FALSE,FALSE
ERR12511686,6000,700,0.307104285714286,0.0171428571428571,0.0157142857142857,0.297142857142857,TRUE,FALSE,FALSE
ERR12511686,6000,800,0.307104285714286,0.01375,0.01875,0.285,TRUE,FALSE,FALSE
ERR12511686,6000,900,0.307104285714286,0.0144444444444444,0.0177777777777778,0.274444444444444,TRUE,FALSE,FALSE
