Isolate.name,n_unknown,prop_unknown
ERR12511686,989,0.00601819454163751
ERR12511687,106,0.000645023884139106
ERR12511688,229,0.00139349499497977
ERR12511689,4279,0.0260382754738796
ERR12511690,536,0.0032616302065902
ERR12511691,543,0.00330422612346731
ERR12511692,495,0.00301213983630998
ERR12511693,225,0.00136915447104999
ERR12511694,597,0.00363282319651931
ERR12511695,499,0.00303648036023975
ERR12511696,135,0.000821492682629994
ERR12511697,371,0.00225758359448687
ERR12511698,862,0.00524538290686707
ERR12511699,909,0.00553138406304196
ERR12511700,240,0.00146043143578666
ERR12511701,161,0.000979706088173548
ERR12511702,725,0.00441171996227219
ERR12511703,3024,0.0184014360909119
ERR12511704,147,0.000894514254419326
ERR12511705,3550,0.0216022149876776
ERR12511706,649,0.00394925000760641
ERR12511707,5480,0.0333465177837953
ERR12511708,336,0.00204460401010132
ERR12511709,358,0.00217847689171509
ERR12511710,511,0.00310950193202909
ERR12511711,528,0.00321294915873064
ERR12511712,120,0.000730215717893328
ERR12511713,183,0.00111357896978732
ERR12511714,1603,0.00975446496485837
ERR12511715,320,0.00194724191438221
ERR12511716,518,0.0031520978489062
ERR12511717,500,0.0030425654912222
ERR12511718,2620,0.0159430431740043
ERR12511719,949,0.00577478930233973
ERR12511720,407,0.00247664830985487
ERR12511721,311,0.00189247573554021
ERR12511722,223,0.0013569842090851
ERR12511723,129,0.000784981896735327
ERR12511724,733,0.00446040101013174
ERR12511725,1164,0.00708309246356528
ERR12511726,149,0.000906684516384215
ERR12511727,5295,0.0322207685520431
ERR12511728,2350,0.0143000578087443
ERR12511729,803,0.00488636017890285
ERR12511730,1390,0.00845833206559771
ERR12511731,402,0.00244622265494265
ERR12511732,416,0.00253141448869687
ERR12511733,165,0.00100404661210333
ERR12511734,143,0.000870173730489549
ERR12511735,47990,0.292025435847507
ERR12511736,217,0.00132047342319043
ERR12511737,171,0.00104055739799799
ERR12511738,853,0.00519061672802507
ERR12511739,668,0.00406486749627286
ERR12511740,81,0.000492895609577996
ERR12511741,76,0.000462469954665774
ERR12511742,136,0.000827577813612438
ERR12511743,180,0.00109532357683999
ERR12511744,95,0.000578087443332218
ERR12511745,547,0.00332856664739709
ERR12511746,243,0.00147868682873399
ERR12511747,438,0.00266528737031065
ERR12511748,19184,0.116737152767213
ERR12511749,519,0.00315818297988864
ERR12511750,8199,0.0498919889250616
ERR12511751,853,0.00519061672802507
ERR12511752,1171,0.00712568838044239
ERR12511753,349,0.00212371071287309
ERR12511754,238,0.00144826117382177
ERR12511755,546,0.00332248151641464
ERR12511756,650,0.00395533513858886
ERR12511757,109,0.000663279277086439
ERR12511758,126,0.000766726503787994
ERR12511759,193,0.00117443027961177
ERR12511760,121,0.000736300848875772
ERR12511761,121,0.000736300848875772
ERR12511762,320,0.00194724191438221
ERR12511763,10662,0.0648796665348222
ERR12511764,379,0.00230626464234643
ERR12511765,397,0.00241579700003043
ERR12511766,121,0.000736300848875772
ERR12511767,257,0.00156387866248821
ERR12511768,121,0.000736300848875772
ERR12511769,731,0.00444823074816685
ERR12511770,214,0.0013022180302431
ERR12511771,165,0.00100404661210333
ERR12511772,154,0.000937110171296437
ERR12511773,610,0.00371192989929108
ERR12511774,341,0.00207502966501354
ERR12511775,192,0.00116834514862932
ERR12511776,558,0.00339550308820397
ERR12511777,284,0.00172817719901421
ERR12511778,96,0.000584172574314662
ERR12511779,125,0.00076064137280555
ERR12511780,180,0.00109532357683999
ERR12511781,287,0.00174643259196154
ERR12511782,112,0.000681534670033773
ERR12511783,656,0.00399184592448352
ERR12511784,647,0.00393707974564152
ERR12511785,130,0.000791067027717772
ERR12511786,129,0.000784981896735327
ERR12511787,919,0.0055922353728664
ERR12511788,452,0.00275047920406487
ERR12511789,76,0.000462469954665774
ERR12511790,98,0.000596342836279551
