threshold,mecA_TP_AMRFINDER,mecA_FP_AMRFINDER,mecA_TN_AMRFINDER,mecA_FN_AMRFINDER,lukF_TP_AMRFINDER,lukF_FP_AMRFINDER,lukF_TN_AMRFINDER,lukF_FN_AMRFINDER,lukS_TP_AMRFINDER,lukS_FP_AMRFINDER,lukS_TN_AMRFINDER,lukS_FN_AMRFINDER,mecA_sensitivity_AMRFINDER,mecA_specificity_AMRFINDER,lukF_sensitivity_AMRFINDER,lukF_specificity_AMRFINDER,lukS_sensitivity_AMRFINDER,lukS_specificity_AMRFINDER,mean_estimated_coverage,n_kmer,n_reads
0.05,31,0,88,46,20,1,92,52,23,1,91,50,0.402597402597403,1,0.277777777777778,0.989247311827957,0.315068493150685,0.989130434782609,0.0521236536796537,100,1000
0.05,32,0,88,45,20,1,92,52,23,0,92,50,0.415584415584416,1,0.277777777777778,0.989247311827957,0.315068493150685,1,0.0521236536796537,200,1000
0.05,29,0,88,48,21,2,91,51,23,0,92,50,0.376623376623377,1,0.291666666666667,0.978494623655914,0.315068493150685,1,0.0521236536796537,300,1000
0.05,33,0,88,44,21,2,91,51,23,0,92,50,0.428571428571429,1,0.291666666666667,0.978494623655914,0.315068493150685,1,0.0521236536796537,400,1000
0.05,34,0,88,43,21,1,92,51,23,0,92,50,0.441558441558442,1,0.291666666666667,0.989247311827957,0.315068493150685,1,0.0521236536796537,500,1000
0.05,34,0,88,43,21,1,92,51,23,0,92,50,0.441558441558442,1,0.291666666666667,0.989247311827957,0.315068493150685,1,0.0521236536796537,600,1000
0.05,34,0,88,43,21,2,91,51,23,0,92,50,0.441558441558442,1,0.291666666666667,0.978494623655914,0.315068493150685,1,0.0521236536796537,700,1000
0.05,33,0,88,44,21,2,91,51,23,0,92,50,0.428571428571429,1,0.291666666666667,0.978494623655914,0.315068493150685,1,0.0521236536796537,800,1000
0.05,34,0,88,43,21,2,91,51,23,0,92,50,0.441558441558442,1,0.291666666666667,0.978494623655914,0.315068493150685,1,0.0521236536796537,900,1000
0.05,34,0,88,43,21,2,91,51,23,0,92,50,0.441558441558442,1,0.291666666666667,0.978494623655914,0.315068493150685,1,0.0521236536796537,all,1000
0.05,52,2,86,25,36,1,92,36,32,4,88,41,0.675324675324675,0.977272727272727,0.5,0.989247311827957,0.438356164383562,0.956521739130435,0.104201056277056,100,2000
0.05,53,2,86,24,37,1,92,35,32,1,91,41,0.688311688311688,0.977272727272727,0.513888888888889,0.989247311827957,0.438356164383562,0.989130434782609,0.104201056277056,200,2000
0.05,56,2,86,21,36,3,90,36,31,1,91,42,0.727272727272727,0.977272727272727,0.5,0.967741935483871,0.424657534246575,0.989130434782609,0.104201056277056,300,2000
0.05,58,2,86,19,38,5,88,34,32,1,91,41,0.753246753246753,0.977272727272727,0.527777777777778,0.946236559139785,0.438356164383562,0.989130434782609,0.104201056277056,400,2000
0.05,56,2,86,21,36,4,89,36,32,1,91,41,0.727272727272727,0.977272727272727,0.5,0.956989247311828,0.438356164383562,0.989130434782609,0.104201056277056,500,2000
0.05,56,2,86,21,36,2,91,36,32,1,91,41,0.727272727272727,0.977272727272727,0.5,0.978494623655914,0.438356164383562,0.989130434782609,0.104201056277056,600,2000
0.05,56,2,86,21,37,4,89,35,32,1,91,41,0.727272727272727,0.977272727272727,0.513888888888889,0.956989247311828,0.438356164383562,0.989130434782609,0.104201056277056,700,2000
0.05,57,2,86,20,37,4,89,35,32,1,91,41,0.74025974025974,0.977272727272727,0.513888888888889,0.956989247311828,0.438356164383562,0.989130434782609,0.104201056277056,800,2000
0.05,56,2,86,21,37,4,89,35,32,1,91,41,0.727272727272727,0.977272727272727,0.513888888888889,0.956989247311828,0.438356164383562,0.989130434782609,0.104201056277056,900,2000
0.05,56,2,86,21,37,3,90,35,32,1,91,41,0.727272727272727,0.977272727272727,0.513888888888889,0.967741935483871,0.438356164383562,0.989130434782609,0.104201056277056,all,2000
