Isolate.name,predicted_MLST.CC,fin_score,predicted_mlst_is_correct,predicted_mlst_is_single
33128_UAMS_1,CC30,0.890686456400742,TRUE,TRUE
34208_Lr12,CC5,0.963724068139652,TRUE,TRUE
34210_M92,CC8,0.869063923089897,TRUE,TRUE
34211_V605,CC8,0.871175577669084,TRUE,TRUE
34290_2005S060,CC121,0.861865407319953,TRUE,TRUE
35605_NCTC8726,CC45,0.767771968291448,TRUE,TRUE
35607_1549_WT,CC45,0.857223815145893,TRUE,TRUE
35868_Newman,CC8,0.878536009445101,TRUE,TRUE
35870_MW2,CC1,0.920816326530613,TRUE,TRUE
35871_MRSA252,CC30,0.861757463315905,TRUE,TRUE
36588_NAS_AN_261_G2,CC121,0.523636363636364,TRUE,TRUE
36589_NAS_AN_261_G3,CC121,0.523636363636364,TRUE,TRUE
36592_NAS_NP_260_G1,CC30,0.542944847360432,TRUE,TRUE
36593_NAS_NP_260_G2,CC121,0.523636363636364,TRUE,TRUE
36594_NAS_NP_260_G3,CC121,0.523636363636364,TRUE,TRUE
37267_NAS_AN_212,CC398/CC5561,0.893337831000169,TRUE,TRUE
37268_NAS_OP_003,CC30,0.868821049080789,TRUE,TRUE
37276_NAS_NP_209,CC30,0.898370720188902,TRUE,TRUE
37279_NAS_NP_229,CC30,0.871539888682745,TRUE,TRUE
37280_NAS_NP_260,CC30,0.542944847360432,TRUE,TRUE
37464_NCTC_8325,CC8,0.868821049080789,TRUE,TRUE
38061_NAS_AN_230_G1,CC398/CC5561,0.886044864226682,TRUE,TRUE
38063_NAS_OP_098_G4,CC25,0.872396694214876,TRUE,TRUE
38248_U59,CC772/CC834,0.908132906054984,TRUE,TRUE
38290_01_RR_86,CC1,0.660779220779221,TRUE,TRUE
38291_03_RR_88,CC772/CC834,0.657480182155507,FALSE,TRUE
38293_07_G_D,CC8,0.641996964074886,FALSE,TRUE
38294_08_G_E,CC12,0.673975375274076,FALSE,TRUE
38295_09_G_F,CC772/CC834,0.652953280485748,FALSE,TRUE
38296_12_G_51,CC12,0.615442739079103,FALSE,TRUE
38298_15_G_54,CC12,0.665785123966943,FALSE,TRUE
38299_17_H_61,CC12,0.685147579693034,TRUE,TRUE
38300_18_H_62,CC5,0.667174903019058,TRUE,TRUE
38301_26_G_G,CC12,0.667174903019058,FALSE,TRUE
38302_28_G_I,CC12,0.671020408163266,FALSE,TRUE
38303_29_P_01,CC12,0.632322482712093,FALSE,TRUE
38304_30_P_10,CC361/CC15,0.67510878731658,TRUE,TRUE
38305_32_T_13,CC12,0.695483218080621,FALSE,TRUE
38306_39_B_49,CC12,0.641632653061225,FALSE,TRUE
38308_16CS0212,CC1943,0.690059031877214,FALSE,TRUE
38485_22MR0019,CC59,0.701420138303255,TRUE,TRUE
38608_7726_MF_31,CC8,0.87603305785124,TRUE,TRUE
38609_7726_MF_32,CC5,0.94848372406814,TRUE,TRUE
38610_7726_MF_33,CC59,0.844769775678866,TRUE,TRUE
38611_7726_MF_34,CC12,0.891145218417946,TRUE,TRUE
38612_7726_MF_35,CC8,0.883656603137122,TRUE,TRUE
38692_7726_MF_37,CC30,0.871539888682745,TRUE,TRUE
38693_7726_MF_38,CC8,0.844472929667735,TRUE,TRUE
38694_7726_MF_39,CC8,0.868821049080789,TRUE,TRUE
38695_7726_MF_40,CC361/CC15,0.869165120593692,TRUE,TRUE
38696_7726_MF_42,CC398/CC5561,0.861865407319953,TRUE,TRUE
38697_7726_MF_43,CC398/CC5561,0.856940462135268,TRUE,TRUE
38698_7726_MF_44,CC398/CC5561,0.856940462135268,TRUE,TRUE
38699_7726_MF_45,CC30,0.861757463315905,TRUE,TRUE
38700_7726_MF_46,CC15,0.883413729128014,TRUE,TRUE
