seq_name,mecA,lukF_PV,lukS_PV,id,estimated_coverage,reads_used,mecA_rcount,mecA_prop,lukS_rcount,lukS_prop,lukF_rcount,lukF_prop,n_sequence_used
33128_UAMS_1,FALSE,FALSE,FALSE,33128,3.2363575,1000,11,0.07,9,0.07,15,0.11,100
33128_UAMS_1,FALSE,FALSE,FALSE,33128,6.50260107142857,2000,21,0.12,19,0.17,27,0.19,100
33128_UAMS_1,FALSE,FALSE,FALSE,33128,9.69052571428571,3000,41,0.2,26,0.19,48,0.25,100
33128_UAMS_1,FALSE,FALSE,FALSE,33128,13.0230185714286,4000,63,0.27,37,0.24,64,0.28,100
33128_UAMS_1,FALSE,FALSE,FALSE,33128,16.2503385714286,5000,75,0.29,50,0.3,83,0.3,100
33128_UAMS_1,FALSE,FALSE,FALSE,33128,19.5402860714286,6000,91,0.31,58,0.32,98,0.31,100
33128_UAMS_1,FALSE,FALSE,FALSE,33128,22.8107778571429,7000,105,0.34,69,0.35,113,0.32,100
33128_UAMS_1,FALSE,FALSE,FALSE,33128,26.0420146428571,8000,121,0.36,85,0.38,126,0.33,100
33128_UAMS_1,FALSE,FALSE,FALSE,33128,3.2363575,1000,28,0.12,30,0.11,30,0.11,200
33128_UAMS_1,FALSE,FALSE,FALSE,33128,6.50260107142857,2000,60,0.205,71,0.225,53,0.18,200
33128_UAMS_1,FALSE,FALSE,FALSE,33128,9.69052571428571,3000,91,0.26,95,0.255,76,0.22,200
33128_UAMS_1,FALSE,FALSE,FALSE,33128,13.0230185714286,4000,123,0.295,124,0.31,100,0.245,200
33128_UAMS_1,FALSE,FALSE,FALSE,33128,16.2503385714286,5000,160,0.33,152,0.35,124,0.255,200
33128_UAMS_1,FALSE,FALSE,FALSE,33128,19.5402860714286,6000,194,0.37,176,0.385,141,0.27,200
33128_UAMS_1,FALSE,FALSE,FALSE,33128,22.8107778571429,7000,222,0.385,206,0.405,158,0.29,200
33128_UAMS_1,FALSE,FALSE,FALSE,33128,26.0420146428571,8000,259,0.425,236,0.425,178,0.3,200
33128_UAMS_1,FALSE,FALSE,FALSE,33128,3.2363575,1000,49,0.136666666666667,43,0.0966666666666667,40,0.09,300
33128_UAMS_1,FALSE,FALSE,FALSE,33128,6.50260107142857,2000,107,0.23,90,0.186666666666667,93,0.163333333333333,300
33128_UAMS_1,FALSE,FALSE,FALSE,33128,9.69052571428571,3000,154,0.27,114,0.203333333333333,137,0.223333333333333,300
33128_UAMS_1,FALSE,FALSE,FALSE,33128,13.0230185714286,4000,215,0.313333333333333,144,0.243333333333333,177,0.253333333333333,300
33128_UAMS_1,FALSE,FALSE,FALSE,33128,16.2503385714286,5000,270,0.35,180,0.283333333333333,226,0.266666666666667,300
33128_UAMS_1,FALSE,FALSE,FALSE,33128,19.5402860714286,6000,333,0.376666666666667,210,0.3,257,0.283333333333333,300
33128_UAMS_1,FALSE,FALSE,FALSE,33128,22.8107778571429,7000,390,0.41,242,0.326666666666667,294,0.306666666666667,300
33128_UAMS_1,FALSE,FALSE,FALSE,33128,26.0420146428571,8000,432,0.426666666666667,270,0.343333333333333,330,0.326666666666667,300
33128_UAMS_1,FALSE,FALSE,FALSE,33128,3.2363575,1000,52,0.1025,56,0.1,56,0.08,400
33128_UAMS_1,FALSE,FALSE,FALSE,33128,6.50260107142857,2000,106,0.1775,123,0.1975,116,0.1275,400
33128_UAMS_1,FALSE,FALSE,FALSE,33128,9.69052571428571,3000,165,0.23,160,0.2125,171,0.1875,400
33128_UAMS_1,FALSE,FALSE,FALSE,33128,13.0230185714286,4000,218,0.27,205,0.2475,227,0.235,400
33128_UAMS_1,FALSE,FALSE,FALSE,33128,16.2503385714286,5000,274,0.2875,251,0.29,287,0.2575,400
33128_UAMS_1,FALSE,FALSE,FALSE,33128,19.5402860714286,6000,326,0.3125,292,0.3125,330,0.28,400
33128_UAMS_1,FALSE,FALSE,FALSE,33128,22.8107778571429,7000,391,0.3425,340,0.3525,397,0.31,400
33128_UAMS_1,FALSE,FALSE,FALSE,33128,26.0420146428571,8000,449,0.365,383,0.3725,439,0.3175,400
33128_UAMS_1,FALSE,FALSE,FALSE,33128,3.2363575,1000,68,0.094,61,0.106,64,0.08,500
33128_UAMS_1,FALSE,FALSE,FALSE,33128,6.50260107142857,2000,133,0.156,122,0.19,136,0.138,500
33128_UAMS_1,FALSE,FALSE,FALSE,33128,9.69052571428571,3000,192,0.202,167,0.216,212,0.214,500
33128_UAMS_1,FALSE,FALSE,FALSE,33128,13.0230185714286,4000,258,0.25,221,0.26,287,0.254,500
33128_UAMS_1,FALSE,FALSE,FALSE,33128,16.2503385714286,5000,328,0.276,275,0.306,359,0.278,500
33128_UAMS_1,FALSE,FALSE,FALSE,33128,19.5402860714286,6000,389,0.308,323,0.326,412,0.302,500
33128_UAMS_1,FALSE,FALSE,FALSE,33128,22.8107778571429,7000,456,0.346,375,0.352,484,0.332,500
33128_UAMS_1,FALSE,FALSE,FALSE,33128,26.0420146428571,8000,520,0.366,424,0.374,545,0.35,500
33128_UAMS_1,FALSE,FALSE,FALSE,33128,3.2363575,1000,93,0.108333333333333,75,0.1,71,0.0983333333333333,600
33128_UAMS_1,FALSE,FALSE,FALSE,33128,6.50260107142857,2000,173,0.168333333333333,158,0.195,129,0.146666666666667,600
33128_UAMS_1,FALSE,FALSE,FALSE,33128,9.69052571428571,3000,265,0.228333333333333,225,0.228333333333333,197,0.22,600
33128_UAMS_1,FALSE,FALSE,FALSE,33128,13.0230185714286,4000,357,0.276666666666667,277,0.258333333333333,270,0.266666666666667,600
33128_UAMS_1,FALSE,FALSE,FALSE,33128,16.2503385714286,5000,458,0.303333333333333,341,0.296666666666667,335,0.28,600
33128_UAMS_1,FALSE,FALSE,FALSE,33128,19.5402860714286,6000,558,0.34,414,0.323333333333333,391,0.303333333333333,600
33128_UAMS_1,FALSE,FALSE,FALSE,33128,22.8107778571429,7000,654,0.371666666666667,479,0.353333333333333,459,0.326666666666667,600
33128_UAMS_1,FALSE,FALSE,FALSE,33128,26.0420146428571,8000,740,0.395,544,0.378333333333333,518,0.346666666666667,600
33128_UAMS_1,FALSE,FALSE,FALSE,33128,3.2363575,1000,81,0.0971428571428571,68,0.0914285714285714,89,0.0885714285714286,700
33128_UAMS_1,FALSE,FALSE,FALSE,33128,6.50260107142857,2000,175,0.174285714285714,152,0.185714285714286,176,0.155714285714286,700
33128_UAMS_1,FALSE,FALSE,FALSE,33128,9.69052571428571,3000,260,0.232857142857143,222,0.215714285714286,260,0.224285714285714,700
33128_UAMS_1,FALSE,FALSE,FALSE,33128,13.0230185714286,4000,342,0.277142857142857,285,0.255714285714286,360,0.272857142857143,700
33128_UAMS_1,FALSE,FALSE,FALSE,33128,16.2503385714286,5000,431,0.307142857142857,348,0.292857142857143,452,0.292857142857143,700
33128_UAMS_1,FALSE,FALSE,FALSE,33128,19.5402860714286,6000,525,0.342857142857143,414,0.311428571428571,523,0.317142857142857,700
33128_UAMS_1,FALSE,FALSE,FALSE,33128,22.8107778571429,7000,609,0.371428571428571,480,0.341428571428571,619,0.344285714285714,700
33128_UAMS_1,FALSE,FALSE,FALSE,33128,26.0420146428571,8000,696,0.387142857142857,550,0.368571428571429,701,0.362857142857143,700
33128_UAMS_1,FALSE,FALSE,FALSE,33128,3.2363575,1000,90,0.0925,83,0.09375,92,0.0925,800
33128_UAMS_1,FALSE,FALSE,FALSE,33128,6.50260107142857,2000,180,0.1575,169,0.18625,189,0.15625,800
33128_UAMS_1,FALSE,FALSE,FALSE,33128,9.69052571428571,3000,281,0.21,249,0.2175,288,0.2275,800
33128_UAMS_1,FALSE,FALSE,FALSE,33128,13.0230185714286,4000,390,0.24875,317,0.25,389,0.2725,800
33128_UAMS_1,FALSE,FALSE,FALSE,33128,16.2503385714286,5000,491,0.28125,387,0.29,488,0.29125,800
33128_UAMS_1,FALSE,FALSE,FALSE,33128,19.5402860714286,6000,599,0.31,464,0.31125,572,0.315,800
33128_UAMS_1,FALSE,FALSE,FALSE,33128,22.8107778571429,7000,703,0.3375,538,0.34375,680,0.34,800
33128_UAMS_1,FALSE,FALSE,FALSE,33128,26.0420146428571,8000,792,0.3625,612,0.36375,762,0.3525,800
33128_UAMS_1,FALSE,FALSE,FALSE,33128,3.2363575,1000,106,0.0944444444444444,90,0.0944444444444444,100,0.0888888888888889,900
33128_UAMS_1,FALSE,FALSE,FALSE,33128,6.50260107142857,2000,216,0.171111111111111,186,0.185555555555556,196,0.148888888888889,900
33128_UAMS_1,FALSE,FALSE,FALSE,33128,9.69052571428571,3000,342,0.236666666666667,269,0.214444444444444,308,0.221111111111111,900
33128_UAMS_1,FALSE,FALSE,FALSE,33128,13.0230185714286,4000,467,0.275555555555556,343,0.252222222222222,417,0.267777777777778,900
33128_UAMS_1,FALSE,FALSE,FALSE,33128,16.2503385714286,5000,583,0.298888888888889,417,0.292222222222222,525,0.285555555555556,900
33128_UAMS_1,FALSE,FALSE,FALSE,33128,19.5402860714286,6000,700,0.333333333333333,499,0.313333333333333,609,0.31,900
33128_UAMS_1,FALSE,FALSE,FALSE,33128,22.8107778571429,7000,822,0.361111111111111,580,0.347777777777778,712,0.334444444444444,900
33128_UAMS_1,FALSE,FALSE,FALSE,33128,26.0420146428571,8000,928,0.386666666666667,658,0.371111111111111,803,0.353333333333333,900
33128_UAMS_1,FALSE,FALSE,FALSE,33128,3.2363575,1000,200,0.0976953907815631,90,0.0941558441558442,112,0.0920372285418821,all
33128_UAMS_1,FALSE,FALSE,FALSE,33128,6.50260107142857,2000,405,0.167334669338677,187,0.185064935064935,221,0.15511892450879,all
33128_UAMS_1,FALSE,FALSE,FALSE,33128,9.69052571428571,3000,615,0.219939879759519,272,0.215367965367965,340,0.225439503619442,all
33128_UAMS_1,FALSE,FALSE,FALSE,33128,13.0230185714286,4000,820,0.258517034068136,347,0.252164502164502,458,0.271975180972079,all
