reads_used,snps_used,snps_type,n_correct,n_single,n_single_correct
1000,100,random_400,345,306,276
2000,100,random_400,345,306,276
3000,100,random_400,345,306,276
4000,100,random_400,345,306,276
5000,100,random_400,345,306,276
6000,100,random_400,345,306,276
7000,100,random_400,345,306,276
8000,100,random_400,345,306,276
1000,200,random_400,361,351,330
2000,200,random_400,361,351,330
3000,200,random_400,361,351,330
4000,200,random_400,361,351,330
5000,200,random_400,361,351,330
6000,200,random_400,361,351,330
7000,200,random_400,361,351,330
8000,200,random_400,361,351,330
1000,300,random_400,366,373,357
2000,300,random_400,366,373,357
3000,300,random_400,366,373,357
4000,300,random_400,366,373,357
5000,300,random_400,366,373,357
6000,300,random_400,366,373,357
7000,300,random_400,366,373,357
8000,300,random_400,366,373,357
1000,400,random_400,370,383,365
2000,400,random_400,370,383,365
3000,400,random_400,370,383,365
4000,400,random_400,370,383,365
5000,400,random_400,370,383,365
6000,400,random_400,370,383,365
7000,400,random_400,370,383,365
8000,400,random_400,370,383,365
1000,7,non_random_200,295,121,74
2000,7,non_random_200,295,230,164
3000,7,non_random_200,294,281,206
4000,7,non_random_200,289,309,225
5000,7,non_random_200,294,307,228
6000,7,non_random_200,290,313,225
7000,7,non_random_200,290,318,228
8000,7,non_random_200,290,315,226
1000,300,non_random_200,372,386,370
2000,300,non_random_200,374,388,373
3000,300,non_random_200,371,390,371
4000,300,non_random_200,373,391,373
5000,300,non_random_200,375,387,373
6000,300,non_random_200,373,386,372
7000,300,non_random_200,373,389,373
8000,300,non_random_200,373,388,372
1000,13,non_random_200,356,265,244
2000,13,non_random_200,363,320,305
3000,13,non_random_200,364,335,326
4000,13,non_random_200,364,340,330
5000,13,non_random_200,366,340,328
6000,13,non_random_200,366,340,330
7000,13,non_random_200,369,341,332
8000,13,non_random_200,369,341,332
1000,385,non_random_200,374,390,374
2000,385,non_random_200,376,386,374
3000,385,non_random_200,375,390,375
4000,385,non_random_200,375,390,375
5000,385,non_random_200,376,388,376
6000,385,non_random_200,376,389,375
7000,385,non_random_200,375,390,375
8000,385,non_random_200,375,391,375
1000,18,non_random_200,364,344,329
2000,18,non_random_200,371,371,360
3000,18,non_random_200,371,376,366
4000,18,non_random_200,371,376,365
5000,18,non_random_200,371,377,365
6000,18,non_random_200,371,377,366
7000,18,non_random_200,370,381,369
8000,18,non_random_200,370,381,369
1000,99,non_random_200,369,382,369
2000,99,non_random_200,370,382,370
3000,99,non_random_200,371,385,370
4000,99,non_random_200,371,385,370
5000,99,non_random_200,370,387,370
6000,99,non_random_200,370,389,370
7000,99,non_random_200,371,388,370
8000,99,non_random_200,371,388,371
1000,23,non_random_200,369,358,346
2000,23,non_random_200,371,380,368
3000,23,non_random_200,372,381,369
4000,23,non_random_200,371,384,369
5000,23,non_random_200,370,385,369
6000,23,non_random_200,370,384,369
7000,23,non_random_200,370,384,370
8000,23,non_random_200,370,384,370
1000,27,non_random_200,368,377,365
2000,27,non_random_200,369,377,367
3000,27,non_random_200,370,380,369
4000,27,non_random_200,371,383,369
5000,27,non_random_200,371,382,368
6000,27,non_random_200,371,380,368
7000,27,non_random_200,370,382,369
8000,27,non_random_200,370,381,369
1000,199,non_random_200,372,385,370
2000,199,non_random_200,373,391,373
3000,199,non_random_200,375,390,375
4000,199,non_random_200,375,389,374
5000,199,non_random_200,376,391,376
6000,199,non_random_200,375,390,374
7000,199,non_random_200,375,388,374
8000,199,non_random_200,375,389,374
