resolution,reads,mecA_TP,mecA_TN,mecA_FP,mecA_FN,pvl_TP,pvl_TN,pvl_FP,pvl_FN,mecA_sensitivity,mecA_specificity,pvl_sensitivity,pvl_specificity
10k,1000,122,170,92,7,45,116,230,0,0.945736434108527,0.648854961832061,1,0.335260115606936
10k,2000,122,178,84,7,43,114,232,2,0.945736434108527,0.679389312977099,0.955555555555556,0.329479768786127
10k,3000,124,159,103,5,41,118,228,4,0.961240310077519,0.606870229007634,0.911111111111111,0.341040462427746
10k,4000,122,139,123,7,43,118,228,2,0.945736434108527,0.530534351145038,0.955555555555556,0.341040462427746
10k,5000,122,139,123,7,41,108,238,4,0.945736434108527,0.530534351145038,0.911111111111111,0.312138728323699
10k,6000,125,157,105,4,43,115,231,2,0.968992248062015,0.599236641221374,0.955555555555556,0.332369942196532
10k,7000,123,157,105,6,41,118,228,4,0.953488372093023,0.599236641221374,0.911111111111111,0.341040462427746
10k,8000,124,150,112,5,42,116,230,3,0.961240310077519,0.572519083969466,0.933333333333333,0.335260115606936
1k,1000,100,180,82,29,40,119,227,5,0.775193798449612,0.687022900763359,0.888888888888889,0.34393063583815
1k,2000,67,207,55,62,41,119,227,4,0.51937984496124,0.790076335877863,0.911111111111111,0.34393063583815
1k,3000,90,184,78,39,40,119,227,5,0.697674418604651,0.702290076335878,0.888888888888889,0.34393063583815
1k,4000,59,196,66,70,40,120,226,5,0.457364341085271,0.748091603053435,0.888888888888889,0.346820809248555
1k,5000,62,191,71,67,40,117,229,5,0.48062015503876,0.729007633587786,0.888888888888889,0.338150289017341
1k,6000,59,159,103,70,40,106,240,5,0.457364341085271,0.606870229007634,0.888888888888889,0.30635838150289
1k,7000,65,102,160,64,39,112,234,6,0.503875968992248,0.389312977099237,0.866666666666667,0.323699421965318
1k,8000,71,104,158,58,40,123,223,5,0.550387596899225,0.396946564885496,0.888888888888889,0.355491329479769
