pubmlst_id,resolution,reads,predicted_MLST.CC,predicted_MLST.ST,predicted_mecA,predicted_pvl,shared_hashes,MLST.CC,CC_filled,predicted_mlst_is_single,predicted_cc_is_correct,predicted_st_is_correct,predicted_mlst_is_correct
33128,1k,1000,CC30,"30,36","MSSA,MRSA",PVL-,158,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,1k,2000,CC30,34,MSSA,PVL-,104,CC30,CC30,TRUE,TRUE,FALSE,TRUE
33128,1k,3000,CC30,30,MSSA,PVL-,89,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,1k,4000,CC30,30,MSSA,PVL-,71,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,1k,5000,CC30,30,MSSA,PVL-,60,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,1k,6000,CC30,30,MSSA,PVL-,53,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,1k,7000,CC30,30,MSSA,PVL-,48,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,1k,8000,CC30,30,MSSA,PVL-,46,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,10k,1000,CC30,30,MSSA,PVL-,1438,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,10k,2000,CC30,30,MSSA,PVL-,1054,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,10k,3000,CC30,30,MSSA,PVL-,790,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,10k,4000,CC30,36,MRSA,PVL-,639,CC30,CC30,TRUE,TRUE,FALSE,TRUE
33128,10k,5000,CC30,30,MRSA,PVL-,546,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,10k,6000,CC30,"30,36","MSSA,MRSA",PVL-,473,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,10k,7000,CC30,30,MSSA,PVL-,412,CC30,CC30,TRUE,TRUE,TRUE,TRUE
33128,10k,8000,CC30,30,MSSA,PVL-,382,CC30,CC30,TRUE,TRUE,TRUE,TRUE
34208,1k,1000,CC5,5,MRSA,PVL*,158,CC5,CC5,TRUE,TRUE,TRUE,TRUE
34208,1k,2000,CC5,5,MSSA,PVL*,114,CC5,CC5,TRUE,TRUE,TRUE,TRUE
34208,1k,3000,CC5,5,MRSA,PVL*,87,CC5,CC5,TRUE,TRUE,TRUE,TRUE
34208,1k,4000,CC5,5,MRSA,PVL*,76,CC5,CC5,TRUE,TRUE,TRUE,TRUE
34208,1k,5000,CC5,"5,149",MRSA,PVL*,63,CC5,CC5,TRUE,TRUE,TRUE,TRUE
34208,1k,6000,CC5,"5,149",MRSA,PVL*,55,CC5,CC5,TRUE,TRUE,TRUE,TRUE
34208,1k,7000,CC5,5,MRSA,PVL*,51,CC5,CC5,TRUE,TRUE,TRUE,TRUE
34208,1k,8000,"CC5,CC8","5,8","MRSA,MSSA",PVL*,47,CC5,CC5,FALSE,TRUE,TRUE,TRUE
34208,10k,1000,CC5,5,MRSA,PVL*,1399,CC5,CC5,TRUE,TRUE,TRUE,TRUE
34208,10k,2000,CC5,5,MRSA,PVL*,1025,CC5,CC5,TRUE,TRUE,TRUE,TRUE
34208,10k,3000,CC5,225,MRSA,PVL*,758,CC5,CC5,TRUE,TRUE,FALSE,TRUE
34208,10k,4000,CC5,225,MRSA,PVL*,633,CC5,CC5,TRUE,TRUE,FALSE,TRUE
34208,10k,5000,CC5,225,MRSA,PVL*,552,CC5,CC5,TRUE,TRUE,FALSE,TRUE
