"new_sample","most_similar","distance","cc"
"ERR12511686","ERR3826338",1036,"CC8"
"ERR12511687","SRR7983626",276,"CC78"
"ERR12511688","SRR7983570",293,"CC15"
"ERR12511689","ERR3826338",4325,"CC8"
"ERR12511690","ERR3826638",601,"CC789"
"ERR12511691","SRR7983556",639,"CC152"
"ERR12511692","SRR7983556",598,"CC152"
"ERR12511693","ERR3826367",296,"CC78"
"ERR12511694","SRR7983556",689,"CC152"
"ERR12511695","SRR7983556",628,"CC152"
"ERR12511696","ERR3826338",186,"CC8"
"ERR12511697","SRR7983556",458,"CC152"
"ERR12511698","SRR7983556",959,"CC152"
"ERR12511699","SRR7983718",956,"CC15"
"ERR12511700","ERR3826338",289,"CC8"
"ERR12511701","ERR3826338",207,"CC8"
"ERR12511702","SRR7983556",817,"CC152"
"ERR12511703","SRR7983556",3114,"CC152"
"ERR12511704","ERR3826338",195,"CC8"
"ERR12511705","ERR3826338",3603,"CC8"
"ERR12511706","ERR3826338",698,"CC8"
"ERR12511707","ERR3826338",5521,"CC8"
"ERR12511708","ERR715140",990,"CC80"
"ERR12511709","SRR7983556",448,"CC152"
"ERR12511710","SRR7983556",611,"CC152"
"ERR12511711","ERR3826558",5536,"CC398/CC5561"
"ERR12511712","ERR3826338",165,"CC8"
"ERR12511713","STR1081-1-1-3,STR1081-2-1-1",270,"CC72"
"ERR12511714","SRR7983556",1698,"CC152"
"ERR12511715","SRR7983556",407,"CC152"
"ERR12511716","SRR7983718",562,"CC15"
"ERR12511717","ERR3826338",547,"CC8"
"ERR12511718","SRR7983556",2722,"CC152"
"ERR12511719","SRR7983556",1041,"CC152"
"ERR12511720","ERR3826338",453,"CC8"
"ERR12511721","SRR7983570",374,"CC15"
"ERR12511722","SRR7983715",433,"CC121"
"ERR12511723","ERR3826338",174,"CC8"
"ERR12511724","ERR3826338",780,"CC8"
"ERR12511725","SRR7983556",1251,"CC152"
"ERR12511726","ERR3826338",197,"CC8"
"ERR12511727","ERR3826338",5347,"CC8"
"ERR12511728","SRR7983556",2441,"CC152"
"ERR12511729","SRR7983556",902,"CC152"
"ERR12511730","SRR7983556",1484,"CC152"
"ERR12511731","ERR3826338",451,"CC8"
"ERR12511732","SRR7983556",509,"CC152"
"ERR12511733","ERR3826338",213,"CC8"
"ERR12511734","ERR3826338",187,"CC8"
"ERR12511735","ERR3826338",48072,"CC8"
"ERR12511736","ERR3826338",262,"CC8"
"ERR12511737","STR1088-3-1-1",380,"CC1"
"ERR12511738","ERR3826338",900,"CC8"
"ERR12511739","SRR7983556",766,"CC152"
"ERR12511740","ERR3826338",128,"CC8"
"ERR12511741","ERR3826338",130,"CC8"
"ERR12511742","ERR3826638",202,"CC789"
"ERR12511743","ERR3826338",229,"CC8"
"ERR12511744","ERR3826338",143,"CC8"
"ERR12511745","ERR3826338",597,"CC8"
"ERR12511746","ERR3826338",291,"CC8"
"ERR12511747","ERR3826638",506,"CC789"
"ERR12511748","ERR3826338",19228,"CC8"
"ERR12511749","SRR7983556",645,"CC152"
"ERR12511750","ERR3826338",8238,"CC8"
"ERR12511751","ERR3826338",897,"CC8"
"ERR12511752","ERR3826338",1221,"CC8"
"ERR12511753","SRR7983556",435,"CC152"
"ERR12511754","ERR3826338",283,"CC8"
"ERR12511755","ERR3826338",591,"CC8"
"ERR12511756","SRR7983719",13700,"CC30"
"ERR12511757","ERR3826338",154,"CC8"
"ERR12511758","ERR3826338",173,"CC8"
"ERR12511759","ERR3826296",283,"CC6"
"ERR12511760","ERR3826338",170,"CC8"
"ERR12511761","ERR3826338",167,"CC8"
"ERR12511762","SRR7983556",416,"CC152"
"ERR12511763","STR1081-1-1-3,STR1081-2-1-1",10778,"CC72"
"ERR12511764","STR1081-1-1-3,STR1081-2-1-1",472,"CC72"
"ERR12511765","SRR7983556",521,"CC152"
"ERR12511766","ERR3826338",172,"CC8"
"ERR12511767","ERR3826338",304,"CC8"
"ERR12511768","ERR3826338",165,"CC8"
"ERR12511769","SRR7983556",829,"CC152"
"ERR12511770","ERR3826623",493,"CC121"
"ERR12511771","SRR7983626",330,"CC78"
"ERR12511772","ERR3826338",201,"CC8"
"ERR12511773","SRR7983556",710,"CC152"
"ERR12511774","SRR7983715",544,"CC121"
"ERR12511775","SRR7983715",404,"CC121"
"ERR12511776","ERR3826338",607,"CC8"
"ERR12511777","SRR7983556",372,"CC152"
"ERR12511778","ERR3826338",143,"CC8"
"ERR12511779","ERR3826338",171,"CC8"
"ERR12511780","SRR7983715",386,"CC121"
"ERR12511781","SRR7983556",377,"CC152"
"ERR12511782","ERR3826338",159,"CC8"
"ERR12511783","SRR7983556",751,"CC152"
"ERR12511784","SRR7983556",741,"CC152"
"ERR12511785","ERR3826338",186,"CC8"
"ERR12511786","ERR3826338",180,"CC8"
"ERR12511787","ERR3826338",968,"CC8"
"ERR12511788","ERR3826338",499,"CC8"
"ERR12511789","ERR3826638",140,"CC789"
"ERR12511790","ERR3826338",146,"CC8"
"ERR12511791","SRR7983556",435,"CC152"
"ERR12511792","ERR3826338",1142,"CC8"
"ERR12511793","ERR3826338",140,"CC8"
"ERR12511794","ERR3826638",330,"CC789"
"ERR12511795","SRR7983556",1536,"CC152"
"ERR12511796","ERR3826338",539,"CC8"
"ERR12511797","ERR3826338",794,"CC8"
"ERR12511798","SRR7983556",7298,"CC152"
"ERR12511799","ERR3826365",111879,"CC78"
"ERR12511800","SRR7983718",23916,"CC15"
"ERR12511801","ERR715140",446,"CC80"
"ERR12511802","SRR7983556",2527,"CC152"
"ERR12511803","ERR3826338",900,"CC8"
"ERR12511804","SRR7983556",5908,"CC152"
"ERR12511805","SRR7983556",1322,"CC152"
"ERR12511806","ERR715138",314,"CC5"
"ERR12511807","ERR3826338",876,"CC8"
"ERR12511808","ERR3826338",1869,"CC8"
"ERR12511809","ERR3826338",189,"CC8"
