pubmlst_id,st,n_reads,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL,clonal_complex,MLST.CC,CC_filled,note,predicted_cc_is_correct,predicted_mlst_is_single
33128,30,4000,99.94,2,2*,2,2,6,3,2,CC30,CC30,CC30,"",TRUE,TRUE
33128,30,5000,100,2,2,2,2,6,3,2,CC30,CC30,CC30,"",TRUE,TRUE
33128,30,6000,100,2,2,2,2,6,3,2,CC30,CC30,CC30,"",TRUE,TRUE
33128,30,7000,100,2,2,2,2,6,3,2,CC30,CC30,CC30,"",TRUE,TRUE
33128,30,8000,100,2,2,2,2,6,3,2,CC30,CC30,CC30,"",TRUE,TRUE
33128,ND,1000,84.13,641*,29*,2*,2*,6*,3*,2*,CC30,CC30,CC30,taken from DLV with 180 STs,TRUE,TRUE
33128,ND,2000,94.75,441*,29*,2*,2*,6*,3*,2,CC30,CC30,CC30,taken from SLV with 1 STs,TRUE,TRUE
33128,ND,3000,98.81,2*,29*,2*,2,6*,3,2,CC30,CC30,CC30,taken from SLV with 87 STs,TRUE,TRUE
34208,5352,3000,97.33,393,4*,1*,4*,12,1*,10,CC5,CC5,CC5,"",TRUE,TRUE
34208,5352,4000,99.65,393,4*,1,4,12,1*,10,CC5,CC5,CC5,"",TRUE,TRUE
34208,5352,5000,99.97,393,4,1,4,12,1*,10,CC5,CC5,CC5,"",TRUE,TRUE
34208,5352,6000,100,393,4,1,4,12,1,10,CC5,CC5,CC5,"",TRUE,TRUE
34208,5352,7000,100,393,4,1,4,12,1,10,CC5,CC5,CC5,"",TRUE,TRUE
34208,5352,8000,100,393,4,1,4,12,1,10,CC5,CC5,CC5,"",TRUE,TRUE
34208,ND,1000,70.37,393*,409*,905*,307*,12*,1*,314*,,CC5,CC5,"Tested up to DLV, none found",,
34208,ND,2000,92.3,393*,184*,905*,4*,12*,1*,10,CC5,CC5,CC5,taken from DLV with 1 STs,TRUE,TRUE
34210,5354,3000,98.46,2*,3,457*,1*,4,4,3*,CC8,CC8,CC8,"",TRUE,TRUE
34210,5354,4000,99.65,2*,3,457,1*,4,4,3*,CC8,CC8,CC8,"",TRUE,TRUE
34210,5354,5000,99.65,2*,3,457,1*,4,4,3*,CC8,CC8,CC8,"",TRUE,TRUE
34210,5354,6000,99.94,2*,3,457,1,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
34210,5354,7000,99.94,2*,3,457,1,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
34210,5354,8000,100,2,3,457,1,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
34210,ND,1000,81.09,2*,3*,457*,251*,825*,372*,95*,,CC8,CC8,"Tested up to DLV, none found",,
34210,ND,2000,91.73,2*,3*,457*,659*,4,4*,45*,CC8,CC8,CC8,taken from DLV with 3 STs,TRUE,TRUE
34211,5355,3000,96.33,2*,3,1,238*,4,4,3*,CC8,CC8,CC8,"",TRUE,TRUE
34211,5355,4000,99.87,2*,3,1,238,4,4,3*,CC8,CC8,CC8,"",TRUE,TRUE
34211,5355,5000,99.9,2*,3,1,238,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
34211,5355,6000,99.97,2*,3,1,238,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
34211,5355,7000,99.97,2*,3,1,238,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
