Isolate.name,pubmlst_id,MLST.CC,CC_filled,n_unknown,prop_unknown,has_disagreement,arcC,aroE,glpF,gmk,pta,tpi,yqiL,ST (MLST),predicted_MLST.CC,fin_score,predicted_mlst_is_correct,predicted_mlst_is_single
33128_UAMS_1,33128,CC30,CC30,3407,0.0207320412571881,FALSE,2,2,2,2,6,3,2,30,CC30,0.890686456400742,TRUE,TRUE
34208_Lr12,34208,CC5,CC5,301,0.00183162442571576,FALSE,393,4,1,4,12,1,10,5352,CC5,0.963724068139652,TRUE,TRUE
34210_M92,34210,CC8,CC8,1496,0.00910335594973682,FALSE,2,3,457,1,4,4,3,5354,CC8,0.869063923089897,TRUE,TRUE
34211_V605,34211,CC8,CC8,1537,0.00935284632001704,FALSE,2,3,1,238,4,4,3,5355,CC8,0.871175577669084,TRUE,TRUE
34290_2005S060,34290,"",CC121,2706,0.0164663644384945,FALSE,6,5,6,2,7,14,,,CC121,0.861865407319953,TRUE,TRUE
35605_NCTC8726,35605,CC45,CC45,4149,0.0252472084461618,FALSE,10,980,8,2,10,32,2,6711,CC45,0.767771968291448,TRUE,TRUE
35607_1549_WT,35607,CC45,CC45,3858,0.0234764353302705,FALSE,10,981,8,6,10,3,2,6712,CC45,0.857223815145893,TRUE,TRUE
35868_Newman,35868,CC8,CC8,1229,0.00747862597742416,FALSE,3,32,1,1,4,4,3,254,CC8,0.878536009445101,TRUE,TRUE
35870_MW2,35870,CC1,CC1,1233,0.00750296650135394,FALSE,1,1,1,1,1,1,1,1,CC1,0.920816326530613,TRUE,TRUE
35871_MRSA252,35871,CC30,CC30,3339,0.0203182523503818,FALSE,2,2,2,2,3,3,2,36,CC30,0.861757463315905,TRUE,TRUE
36588_NAS_AN_261_G2,36588,"",CC121,59538,0.362296528432774,FALSE,,5,6,2,7,7,5,,CC121,0.523636363636364,TRUE,TRUE
36589_NAS_AN_261_G3,36589,"",CC121,59538,0.362296528432774,FALSE,,5,6,2,7,7,5,,CC121,0.523636363636364,TRUE,TRUE
36592_NAS_NP_260_G1,36592,"",CC30,59552,0.362381720266529,FALSE,,2,2,2,6,3,2,,CC30,0.542944847360432,TRUE,TRUE
