reads,sketch_id,shared_hashes,mlst,meca,pvl,scc,clindamycin,rifampicin,ciprofloxacin,vancomycin,tetracycline,mupirocin,gentamicin,trimethoprim,penicillin,methicillin,erythromycin,fusidicacid,pubmlst_id,resolution
1000,SAMN05345547,1438,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
1000,SAMEA3542532,1432,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,R,R,R,R,S,33128,10k
1000,SAMN05337013,1428,ST3423,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,10k
1000,SAMEA2041417,1427,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,10k
1000,SAMN05336751,1427,ST3423,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,10k
2000,SAMN05345547,1054,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
2000,SAMEA1316733,1030,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,R,R,R,R,R,R,S,33128,10k
2000,SAMEA1316838,1028,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,R,R,R,R,S,33128,10k
2000,SAMEA3542532,1025,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,R,R,R,R,S,33128,10k
2000,SAMEA4008454,1025,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,10k
3000,SAMN05345547,790,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
3000,SAMN05868196,789,ST34,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
3000,SAMEA3283322,787,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
3000,SAMEA4553212,787,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
3000,SAMEA2744062,785,ST30,MRSA,PVL-,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,S,33128,10k
4000,SAMEA3573697,639,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,10k
4000,SAMEA2744062,637,ST30,MRSA,PVL-,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,S,33128,10k
4000,SAMEA3924204,635,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
4000,SAMN06327692,635,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
4000,SAMEA1317504,634,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,10k
5000,SAMEA2744062,546,ST30,MRSA,PVL-,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,S,33128,10k
5000,SAMEA3484383,545,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
5000,SAMEA4008437,544,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,R,R,R,R,R,R,R,33128,10k
5000,SAMEA4008454,544,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,10k
5000,SAMEA3573697,543,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,10k
6000,SAMEA3484383,473,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
6000,SAMEA3542564,473,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,R,R,R,R,S,33128,10k
6000,SAMN06327692,473,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
6000,SAMEA104137203,470,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
6000,SAMEA104152303,470,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
7000,SAMEA104137203,412,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
7000,SAMEA104152303,412,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
7000,SAMEA3484383,412,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
7000,SAMN06327692,412,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
7000,SAMEA3542564,411,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,R,R,R,R,S,33128,10k
