Isolate.me,Part_of_test,MLST.CC,pubmlst_id,CC_filled,n_unknown,prop_unknown,has_disagreement,Barcode,PVL,MRSA,Estimated_coverage,minSNPs_predicted_27SNPs_2kReads,minSNPs_predicted_27SNPs_2kReads_is_single_correct
ERR204136,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR204137,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204138,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204139,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR204140,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204141,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204142,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204143,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204144,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204145,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204146,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204147,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR204149,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204152,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204153,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204154,FALSE,CC45,,CC45,0,0,FALSE,,,,,,
ERR204155,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR204156,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204157,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR204158,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204159,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204160,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204161,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204162,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204163,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR204164,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR204165,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204166,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204167,FALSE,CC6,,CC6,0,0,FALSE,,,,,,
ERR204168,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204169,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204170,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR204171,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204172,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204173,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR204174,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
