sample,search_type,n_snps,n_reads,fin_score,proportion_matched,proportion_scheme_found,estimated_coverage,predicted_MLST.CC,reads_w_result,MLST.CC,CC_filled,predicted_mlst_is_single,predicted_mlst_is_correct_INFERRED
ERR12511686,random,7,1000,0,0,0,0.0510242857142857,Unknown,0,Unknown,CC8,TRUE,FALSE
ERR12511686,random,7,2000,0,0,0,0.102495,Unknown,0,Unknown,CC8,TRUE,FALSE
ERR12511686,random,7,3000,0,0,0,0.153288571428571,Unknown,0,Unknown,CC8,TRUE,FALSE
ERR12511686,random,7,4000,0.0204081632653062,0.142857142857143,0.142857142857143,0.204837142857143,"CC1,CC10,CC101,CC12,CC121,CC130,CC15,CC152,CC1943,CC20,CC22,CC25,CC30,CC361,CC361/CC15,CC395,CC398/CC5561,CC425,CC45,CC5,CC59,CC6,CC7,CC71,CC72,CC772/CC834,CC779,CC78,CC789,CC8,CC80,CC93,CC942,CC96",1,Unknown,CC8,FALSE,TRUE
ERR12511686,random,7,5000,0.0204081632653062,0.142857142857143,0.142857142857143,0.2559275,"CC1,CC10,CC101,CC12,CC121,CC130,CC15,CC152,CC1943,CC20,CC22,CC25,CC30,CC361,CC361/CC15,CC395,CC398/CC5561,CC425,CC45,CC5,CC59,CC6,CC7,CC71,CC72,CC772/CC834,CC779,CC78,CC789,CC8,CC80,CC93,CC942,CC96",1,Unknown,CC8,FALSE,TRUE
ERR12511686,random,7,6000,0.0204081632653062,0.142857142857143,0.142857142857143,0.307104285714286,"CC1,CC10,CC101,CC12,CC121,CC130,CC15,CC152,CC1943,CC20,CC22,CC25,CC30,CC361,CC361/CC15,CC395,CC398/CC5561,CC425,CC45,CC5,CC59,CC6,CC7,CC71,CC72,CC772/CC834,CC779,CC78,CC789,CC8,CC80,CC93,CC942,CC96",1,Unknown,CC8,FALSE,TRUE
ERR12511686,random,7,7000,0.0816326530612246,0.285714285714286,0.285714285714286,0.35829,"CC1,CC101,CC12,CC121,CC130,CC15,CC152,CC1943,CC20,CC22,CC25,CC30,CC361,CC361/CC15,CC395,CC398/CC5561,CC425,CC45,CC5,CC59,CC6,CC7,CC71,CC72,CC772/CC834,CC779,CC78,CC789,CC8,CC80,CC93,CC942,CC96",2,Unknown,CC8,FALSE,TRUE
ERR12511686,random,7,8000,0.0816326530612246,0.285714285714286,0.285714285714286,0.410062142857143,"CC1,CC101,CC12,CC121,CC130,CC15,CC152,CC1943,CC20,CC22,CC25,CC30,CC361,CC361/CC15,CC395,CC398/CC5561,CC425,CC45,CC5,CC59,CC6,CC7,CC71,CC72,CC772/CC834,CC779,CC78,CC789,CC8,CC80,CC93,CC942,CC96",2,Unknown,CC8,FALSE,TRUE
ERR12511686,random,13,1000,0,0,0,0.0510242857142857,Unknown,0,Unknown,CC8,TRUE,FALSE
ERR12511686,random,13,2000,0,0,0,0.102495,Unknown,0,Unknown,CC8,TRUE,FALSE
ERR12511686,random,13,3000,0.00591715976331361,0.0769230769230769,0.0769230769230769,0.153288571428571,"CC1,CC10,CC101,CC12,CC121,CC130,CC15,CC152,CC1943,CC20,CC22,CC25,CC30,CC361,CC361/CC15,CC395,CC398/CC5561,CC425,CC45,CC5,CC59,CC6,CC7,CC71,CC72,CC772/CC834,CC779,CC78,CC789,CC8,CC93,CC942,CC96",1,Unknown,CC8,FALSE,TRUE
ERR12511686,random,13,4000,0.0236686390532545,0.153846153846154,0.153846153846154,0.204837142857143,"CC1,CC10,CC101,CC12,CC121,CC130,CC15,CC152,CC1943,CC20,CC22,CC25,CC30,CC361,CC361/CC15,CC395,CC398/CC5561,CC425,CC45,CC5,CC59,CC6,CC7,CC71,CC72,CC772/CC834,CC779,CC78,CC789,CC8,CC93,CC942,CC96",2,Unknown,CC8,FALSE,TRUE
