pubmlst_id,n_reads,st,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL
33128,1000,ND,84.13,641*,29*,2*,2*,6*,3*,2*
33128,2000,ND,94.75,441*,29*,2*,2*,6*,3*,2
33128,3000,ND,98.81,2*,29*,2*,2,6*,3,2
33128,4000,30,99.94,2,2*,2,2,6,3,2
33128,5000,30,100.00,2,2,2,2,6,3,2
33128,6000,30,100.00,2,2,2,2,6,3,2
33128,7000,30,100.00,2,2,2,2,6,3,2
33128,8000,30,100.00,2,2,2,2,6,3,2
34208,1000,ND,70.37,393*,409*,905*,307*,12*,1*,314*
34208,2000,ND,92.30,393*,184*,905*,4*,12*,1*,10
34208,3000,5352,97.33,393,4*,1*,4*,12,1*,10
34208,4000,5352,99.65,393,4*,1,4,12,1*,10
34208,5000,5352,99.97,393,4,1,4,12,1*,10
34208,6000,5352,100.00,393,4,1,4,12,1,10
34208,7000,5352,100.00,393,4,1,4,12,1,10
34208,8000,5352,100.00,393,4,1,4,12,1,10
34210,1000,ND,81.09,2*,3*,457*,251*,825*,372*,95*
34210,2000,ND,91.73,2*,3*,457*,659*,4,4*,45*
34210,3000,5354,98.46,2*,3,457*,1*,4,4,3*
34210,4000,5354,99.65,2*,3,457,1*,4,4,3*
34210,5000,5354,99.65,2*,3,457,1*,4,4,3*
34210,6000,5354,99.94,2*,3,457,1,4,4,3
34210,7000,5354,99.94,2*,3,457,1,4,4,3
34210,8000,5354,100.00,2,3,457,1,4,4,3
34211,1000,ND,81.99,720*,157*,387*,478*,4*,4*,391*
34211,2000,ND,92.66,300*,3*,1,478*,4*,4*,3*
34211,3000,5355,96.33,2*,3,1,238*,4,4,3*
34211,4000,5355,99.87,2*,3,1,238,4,4,3*
34211,5000,5355,99.90,2*,3,1,238,4,4,3
34211,6000,5355,99.97,2*,3,1,238,4,4,3
34211,7000,5355,99.97,2*,3,1,238,4,4,3
34211,8000,5355,100.00,2,3,1,238,4,4,3
34290,1000,ND,71.84,657*,5*,6*,43*,7*,14*,961*
34290,2000,121,93.95,6*,5*,6*,2*,7*,14*,5*
34290,3000,2782,96.81,6*,5,6*,2,7*,14*,322*
34290,4000,2782,99.10,6*,5,6,2,7,14,322*
34290,5000,2782,99.29,6*,5,6,2,7,14,322*
34290,6000,121,99.55,6,5,6,2,7,14,5*
34290,7000,121,99.58,6,5,6,2,7,14,5*
34290,8000,121,99.71,6,5,6,2,7,14,5*
35605,1000,ND,75.74,594*,980*,8*,563*,10*,32*,2*
35605,2000,ND,90.01,10*,980,8*,172*,10*,32*,2*
35605,3000,ND,97.49,10*,980,766*,172*,10,32,2*
35605,4000,6711,99.65,10,980,8*,2*,10,32,2*
35605,5000,6711,99.74,10,980,8*,2*,10,32,2*
35605,6000,6711,100.00,10,980,8,2,10,32,2
35605,7000,6711,100.00,10,980,8,2,10,32,2
35605,8000,6711,100.00,10,980,8,2,10,32,2
35607,1000,ND,69.88,10*,502*,197*,6*,25*,2*,25*
35607,2000,ND,91.69,10*,502*,8*,6*,10*,3*,25*
35607,3000,ND,95.88,10*,981*,8*,6*,10*,3,25*
35607,4000,6712,99.36,10*,981,8,6*,10*,3,2*
35607,5000,6712,99.68,10*,981,8,6*,10,3,2
35607,6000,6712,99.97,10,981,8,6*,10,3,2
35607,7000,6712,99.97,10,981,8,6*,10,3,2
35607,8000,6712,99.97,10,981,8,6*,10,3,2
35868,1000,ND,69.35,504*,32*,744*,411*,372*,4*,3*
35868,2000,ND,87.60,3*,32*,744*,1*,116*,4*,3*
35868,3000,ND,97.36,3*,32,1*,1*,4*,4,413*
35868,4000,254,99.45,3*,32,1*,1,4*,4,3*
