"Isolate.name","MLST.CC","pubmlst_id","CC_filled","has_disagreement"
"ERR204136","CC5",NA,"CC5",FALSE
"ERR204137","CC22",NA,"CC22",FALSE
"ERR204138","CC22",NA,"CC22",FALSE
"ERR204139","CC8",NA,"CC8",FALSE
"ERR204140","CC22",NA,"CC22",FALSE
"ERR204141","CC22",NA,"CC22",FALSE
"ERR204142","CC22",NA,"CC22",FALSE
"ERR204143","CC22",NA,"CC22",FALSE
"ERR204144","CC22",NA,"CC22",FALSE
"ERR204145","CC22",NA,"CC22",FALSE
"ERR204146","CC22",NA,"CC22",FALSE
"ERR204147","CC1",NA,"CC1",FALSE
"ERR204149","CC22",NA,"CC22",FALSE
"ERR204152","CC22",NA,"CC22",FALSE
"ERR204153","CC22",NA,"CC22",FALSE
"ERR204154","CC45",NA,"CC45",FALSE
"ERR204155","CC1",NA,"CC1",FALSE
"ERR204156","CC22",NA,"CC22",FALSE
"ERR204157","CC59",NA,"CC59",FALSE
"ERR204158","CC22",NA,"CC22",FALSE
"ERR204159","CC22",NA,"CC22",FALSE
"ERR204160","CC22",NA,"CC22",FALSE
"ERR204161","CC22",NA,"CC22",FALSE
"ERR204162","CC22",NA,"CC22",FALSE
"ERR204163","CC59",NA,"CC59",FALSE
"ERR204164","CC1",NA,"CC1",FALSE
"ERR204165","CC22",NA,"CC22",FALSE
"ERR204166","CC22",NA,"CC22",FALSE
"ERR204167","CC6",NA,"CC6",FALSE
"ERR204168","CC22",NA,"CC22",FALSE
"ERR204169","CC22",NA,"CC22",FALSE
"ERR204170","CC59",NA,"CC59",FALSE
"ERR204171","CC22",NA,"CC22",FALSE
"ERR204172","CC22",NA,"CC22",FALSE
"ERR204173","CC5",NA,"CC5",FALSE
"ERR204174","CC5",NA,"CC5",FALSE
"ERR204175","CC22",NA,"CC22",FALSE
"ERR204176","CC22",NA,"CC22",FALSE
"ERR204177","CC22",NA,"CC22",FALSE
"ERR204178","CC130",NA,"CC130",FALSE
"ERR204179","CC30",NA,"CC30",FALSE
"ERR204180","CC30",NA,"CC30",FALSE
"ERR204181","CC22",NA,"CC22",FALSE
"ERR204182","CC80",NA,"CC80",FALSE
"ERR204183","CC22",NA,"CC22",FALSE
"ERR204184","CC22",NA,"CC22",FALSE
"ERR204185","CC22",NA,"CC22",FALSE
"ERR204186","CC22",NA,"CC22",FALSE
"ERR204187","CC22",NA,"CC22",FALSE
"ERR204188","CC22",NA,"CC22",FALSE
"ERR204189","CC22",NA,"CC22",FALSE
"ERR204190","CC5",NA,"CC5",FALSE
"ERR204191","CC22",NA,"CC22",FALSE
"ERR204192","CC22",NA,"CC22",FALSE
"ERR204193","CC22",NA,"CC22",FALSE
"ERR204194","CC22",NA,"CC22",FALSE
"ERR204195","CC22",NA,"CC22",FALSE
"ERR204196","CC22",NA,"CC22",FALSE
"ERR204197","CC22",NA,"CC22",FALSE
"ERR204198","CC22",NA,"CC22",FALSE
"ERR204199","CC22",NA,"CC22",FALSE
"ERR204200","CC5",NA,"CC5",FALSE
"ERR204201","CC22",NA,"CC22",FALSE
"ERR204202","CC22",NA,"CC22",FALSE
"ERR204203","CC5",NA,"CC5",FALSE
"ERR204204","CC22",NA,"CC22",FALSE
"ERR204205","CC8",NA,"CC8",FALSE
"ERR204206","CC22",NA,"CC22",FALSE
"ERR204207","CC22",NA,"CC22",FALSE
"ERR204208","CC5",NA,"CC5",FALSE
"ERR204209","CC1",NA,"CC1",FALSE
"ERR204210","CC22",NA,"CC22",FALSE
"ERR204211","CC22",NA,"CC22",FALSE
"ERR204212","CC22",NA,"CC22",FALSE
"ERR204213","CC22",NA,"CC22",FALSE
"ERR204214","CC5",NA,"CC5",FALSE
"ERR204215","CC22",NA,"CC22",FALSE
"ERR204216","CC30",NA,"CC30",FALSE
"ERR204217","CC22",NA,"CC22",FALSE
"ERR204218","CC22",NA,"CC22",FALSE
"ERR204219","CC22",NA,"CC22",FALSE
"ERR204220","CC22",NA,"CC22",FALSE
"ERR204221","CC22",NA,"CC22",FALSE
"ERR204222","CC22",NA,"CC22",FALSE
"ERR204223","CC22",NA,"CC22",FALSE
"ERR204224","CC22",NA,"CC22",FALSE
"ERR204225","CC5",NA,"CC5",FALSE
"ERR204226","CC22",NA,"CC22",FALSE
"ERR204227","CC22",NA,"CC22",FALSE
"ERR204228","CC22",NA,"CC22",FALSE
"ERR204229","CC80",NA,"CC80",FALSE
"ERR204230","CC22",NA,"CC22",FALSE
"ERR204231","CC22",NA,"CC22",FALSE
